X,RecordID_ALA,COLLECTION.ID,CatalogNumber,Collection,SpeciesName,MonthCapture,YearCapture,LongitudeClim,LatitudeClim,Longitude,Latitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7
7229,0a9c1a47-bd96-49c1-ac66-ad2c825aea6c,A14597,A14597,WAM,Malurus lamberti,8,1976,123.716667,-18.883333,123.716667,-18.883333,153446.6142,202.406601,GSD,Great Sandy Desert
11708,0ad38dd5-5f3e-4999-9833-9d7a2c782ba8,G32250,G32250,ANWC,Malurus lamberti,10,2010,149.0518,-28.3577,149.0518,-28.3577,411373.2015,209.853302,BBS,Brigalow Belt South
9844,0ae2e56c-bbae-416b-bd83-0f83a46d5541,B49438,B49438,ANWC,Malurus lamberti,10,1997,141.2942,-31.1583,141.2942,-31.1583,362140.7418,138.8618011,BHC,Broken Hill Complex
2817,0ae36488-2114-407e-a870-867d0e4d1c58,A15651,A15651,WAM,Malurus lamberti,5,1978,128.033333,-18.233333,128.033333,-18.233333,308589.0643,275.4350891,OVP,Ord Victoria Plain
1746,0b2fbb74-9a78-444b-9710-a5dae52cd20f,A13009,A13009,WAM,Malurus lamberti,4,1974,122.133333,-19.333333,122.133333,-19.333333,67856.92301,84.1115036,GSD,Great Sandy Desert
4646,0b4e3f0f-b967-4b71-8815-4d9473234d03,B18857,B18857,ANWC,Malurus lamberti,6,1976,136.1833,-16.6,136.1833,-16.6,96917.76824,60.71355057,GFU,Gulf Fall and Uplands
4648,0ba0f366-b027-4e20-b73e-f98df2169457,O11784,O11784,QM,Malurus lamberti,6,1971,153.183333,-27.516667,153.183333,-27.516667,7455.212941,18.82164955,SEQ,South Eastern Queensland
2827,0c0496c9-f1d9-48c0-b59b-3f7bc3c22773,A15657,A15657,WAM,Malurus lamberti,5,1978,127.966667,-18.233333,127.966667,-18.233333,308550,327.0255127,OVP,Ord Victoria Plain
8415,0c5633d7-ecf8-4436-8db3-291df117399e,G31058,G31058,ANWC,Malurus lamberti,8,2008,126.0433,-28.0342,126.0433,-28.0342,467283.8701,395.9198914,GVD,Great Victoria Desert
7142,0cea8d39-fbf2-4419-853d-bf9e7bc80ac2,G32188,G32188,ANWC,Malurus lamberti,7,2010,128.6945,-18.1345,128.6945,-18.1345,300873.5297,337.7535095,OVP,Ord Victoria Plain
1169,0d07facd-dfc3-4e23-8110-3caffe855a34,A20194,A20194,WAM,Malurus lamberti,3,1986,125.85,-16.8,125.85,-16.8,124211.1046,461.5606995,CEK,Central Kimberley
5775,0e3d4afe-4c5d-4ac1-aeaa-b002c22b17b7,A18070,A18070,WAM,Malurus lamberti,7,1983,137.366667,-35.683333,137.366667,-35.683333,7455.212941,93.13352203,KAN,Kanmantoo
9871,0e5c7faf-f4bc-48ce-af5d-991351a59bbb,B49358,B49358,ANWC,Malurus lamberti,10,1997,145.7606,-29.9222,145.7606,-29.9222,656184.4973,102.9981003,MUL,Mulga Lands
11736,0e62921c-1579-4c26-bbab-3b5c5289e7f7,G40525,G40525,ANWC,Malurus lamberti,10,2015,132.426,-13.437,132.426,-13.437,117810,267.9241028,ARP,Arnhem Plateau
5778,0ed9d536-ed5e-4853-a6ef-1f0c1c82ea81,B55435,B55435,ANWC,Malurus lamberti,7,2010,128.759,-18.107,128.759,-18.107,303426.761,358.9408875,OVP,Ord Victoria Plain
9876,0f15b1a1-0fdf-46af-8cfe-c67f4d77fadc,B29338,B29338,ANWC,Malurus lamberti,10,2001,139.5917,-17.7333,139.5917,-17.7333,24494.61165,2.078464031,GUP,Gulf Plains
2844,0f23ddb3-5076-4cfb-a182-a6f646a42708,A15628,A15628,WAM,Malurus lamberti,5,1978,128.35,-16,128.35,-16,65791.38925,364.3815002,VIB,Victoria Bonaparte
2851,0fb2612d-9587-4f5b-a2da-de1cde46226a,A15629,A15629,WAM,Malurus lamberti,5,1978,130.683333,-16.033333,130.683333,-16.033333,144096.3473,114.8569031,OVP,Ord Victoria Plain
9883,0fb70e1d-c3ca-4300-857c-5b747f7df919,A15050,A15050,WAM,Malurus lamberti,10,1977,127.083333,-17.333333,127.083333,-17.333333,234710.3585,501.7734985,CEK,Central Kimberley
43,116e3bd2-f1b2-41bd-9b1d-31fcf27ddba1,B15922,B15922,ANWC,Malurus lamberti,1,1973,132.4667,-13.4667,132.4667,-13.4667,123517.6283,160.5357056,ARP,Arnhem Plateau
1181,119f9f8f-4be2-48dd-b890-c588e0c9a8e5,A20169,A20169,WAM,Malurus lamberti,3,1986,125.85,-16.8,125.85,-16.8,124211.1046,461.5606995,CEK,Central Kimberley
7120,11a7312d-fbb1-4f1a-b8e3-3426c4e5d2b3,ABTC119512,ABTC119512,ABTC,Malurus lamberti,7,2007,130.0892,-29.8947,130.0892,-29.8947,190740,153.3574982,GVD,Great Victoria Desert
7252,123eb3fd-a8bc-406a-8adc-3ab4ee6232fa,O11265,O11265,QM,Malurus lamberti,8,1969,152.45,-26.75,152.45,-26.75,67659.6076,418.5191956,SEQ,South Eastern Queensland
1186,125dcd80-a6dc-4605-9ef6-b04896fbd548,A20164,A20164,WAM,Malurus lamberti,3,1986,125.95,-16.666944,125.95,-16.666944,129617.2411,398.0091858,CEK,Central Kimberley
1774,128160c8-6e71-49a8-a92a-0563d0450fcd,B47876,B47876,ANWC,Malurus lamberti,4,1996,141.9128,-29.7436,141.9128,-29.7436,504465.8857,129.5075073,CHC,Channel Country
5791,12bdb2ca-c156-4c96-8681-d8d5fcb5448d,B54779,B54779,ANWC,Malurus lamberti,7,2009,133.609,-15.856,133.609,-15.856,223460.0369,180.767395,STU,Sturt Plateau
7157,1343e762-81af-4ebf-9fef-18eebea4fe5c,G29479,G29479,ANWC,Malurus lamberti,7,2009,134.192,-14.761,134.192,-14.761,132570,56.27629089,GFU,Gulf Fall and Uplands
7259,137984ca-f2f6-4770-ae56-44a999813565,B54028,B54028,ANWC,Malurus lamberti,8,2008,128.4172,-29.5719,128.4172,-29.5719,242875.1753,209.3856049,NUL,Nullarbor
7261,13e8fddd-b007-4599-af5e-78753fe496ba,B54145,B54145,ANWC,Malurus lamberti,8,2008,128.1242,-28.4664,128.1242,-28.4664,370961.9195,349.9440918,GVD,Great Victoria Desert
2877,14078a84-43a7-4239-81c8-9df95bbdc88b,A15652,A15652,WAM,Malurus lamberti,5,1978,128.033333,-18.233333,128.033333,-18.233333,308589.0643,275.4350891,OVP,Ord Victoria Plain
