	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC129	ANWC131	ANWC130	SAM35	ANWC118	ANWC94	ANWC133	ANWC136	SAM31	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC104	ANWC168	ANWC117	ANWC101	ANWC75	ANWC106	ANWC108	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC66	ANWC116	ANWC139	SAM19	ANWC128	ANWC109	ANWC77	SAM34	SAM37	ANWC71	ANWC170	ANWC72	ANWC73	ANWC134	ANWC81	ANWC78	SAM38	ANWC80
SAM27	2700546.4	2700546.4	0	937021.59	0	260208.89	879832.926	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	941264.33	1458873.75	1317131.73	1264033.83	1248590.96	924492.64	1120276.3	162945.5	1454789.13	1458873.75	3723.1201	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	601655.8	1392036.5	1120276.3	449490.58	1185800.9	771034.6	395195.6	771034.6	1172448.3	0	701986.2	1193184.7	1843861.8	1193184.7	2066275	9.33E+05	1318465.5	350418	1582111.1	1015133.896	1015074.676	688979.5	1436015.4	830827.8	830827.8	1431359.4	2598867.29	2214473.3	1046693.99	2534404.2
SAM26	2700546.4	2700546.4	0	937021.59	0	260208.89	879832.926	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	941264.33	1458873.75	1317131.73	1264033.83	1248590.96	924492.64	1120276.3	162945.5	1454789.13	1458873.75	3723.1201	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	601655.8	1392036.5	1120276.3	449490.58	1185800.9	771034.6	395195.6	771034.6	1172448.3	0	701986.2	1193184.7	1843861.8	1193184.7	2066275	9.33E+05	1318465.5	350418	1582111.1	1015133.896	1015074.676	688979.5	1436015.4	830827.8	830827.8	1431359.4	2598867.29	2214473.3	1046693.99	2534404.2
SAM25	2700546.4	2700546.4	0	937021.59	0	260208.89	879832.926	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	941264.33	1458873.75	1317131.73	1264033.83	1248590.96	924492.64	1120276.3	162945.5	1454789.13	1458873.75	3723.1201	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	601655.8	1392036.5	1120276.3	449490.58	1185800.9	771034.6	395195.6	771034.6	1172448.3	0	701986.2	1193184.7	1843861.8	1193184.7	2066275	9.33E+05	1318465.5	350418	1582111.1	1015133.896	1015074.676	688979.5	1436015.4	830827.8	830827.8	1431359.4	2598867.29	2214473.3	1046693.99	2534404.2
SAM18	2019976.8	2019976.8	933386.018	185347.91	933386.018	676228.29	473532.192	931308.1575	930511.3333	933386.018	933386.018	933386.018	933386.018	0.00E+00	1.49E+01	551109.77	262664.76	297274.49	213811.6	231310.99	2123113.18	297274.49	873855.95	744560.59	681998.26	670685.95	481216.07	1500213.3	787265.1	890371.54	873855.95	930511.3333	1813603.9	890371.54	638065.1	1279325.4	933386.018	651507.16	468865.31	584964.17	577792.8	1276755.3	1500213.3	580075.81	258400.4	1120331.1	782491.4	1120331.1	689610	933386.018	1411226.6	899659.8	1136143.9	899659.8	1238758.3	1.49E+01	754549.59	922101.1	924129.5	563870.569	562080.242	1027090.6	1383191.6	169801.6	169801.6	863565.49	2083716.11	1544858.8	517112.76	1822511.2
SAM17	2019964.9	2019964.9	933400.428	185352.74	933400.428	676242.5	473533.96	931322.577	930525.7525	933400.428	933400.428	933400.428	933400.428	1.49E+01	0.00E+00	551107.88	262671.68	297280.05	213816.24	231318.69	2123103.56	297280.05	873848.03	744553.75	681991.64	670679.55	481216.47	1500225.6	787279.2	890364.01	873848.03	930525.7525	1813592.2	890364.01	638079.74	1279337.9	933400.428	651522.02	468867.264	584978.97	577801.7	1276762.2	1500225.6	580090.56	258385.5	1120344.2	782506.1	1120344.2	689605.9	933400.428	1411241.2	899665.7	1136138.4	899665.7	1238748.9	2.98E+01	754542.9	922115.9	924119.7	563869.054	562078.707	1027103.9	1383199.1	169808.4	169808.4	863558.03	2083706.92	1544847.5	517109.68	1822499
SAM33	1681495.2	1681495.2	1022597.909	733606	1022597.909	794274.65	147519.36	1022153.029	1021442.665	1022597.909	1022597.909	1022597.909	1022597.909	5.51E+05	5.51E+05	0	802494.47	842072.34	762155.88	768324.97	1686671.41	842072.34	439627.07	295463.15	241578.93	226180.1	105661.56	1908806.5	861760.4	439711.2	439627.07	1021442.665	1475117	439711.2	821460.93	1688089.1	1022597.909	920288.22	154834.343	889479.58	425278	1803186.8	1908806.5	895477.3	579994.1	1510722.8	1084523.9	1510722.8	165774.4	1022597.909	1671974.7	1437913.5	1640436.7	1437913.5	1664750.9	5.51E+05	297920.75	1187691.1	559816.4	19017.01	17268.036	1409764.6	1902395	421830.4	421830.4	414523.71	1634369.05	1194078.2	55047.26	1511951.4
SAM16	2259964.1	2259964.1	909199.962	84413.35	909199.962	679355.29	705735.82	906518.2918	905774.0924	909199.962	909199.962	909199.962	909199.962	2.63E+05	2.63E+05	802494.47	0	44616.95	62846.96	34698.71	2380163.99	44616.95	1135908.53	1007222.34	944611.32	933207.1	721847.04	1274729.7	792031.5	1152818.95	1135908.53	905774.0924	2055261.6	1152818.95	612126.93	1057970.9	909199.962	567434.28	699909.883	491242.8	729773	1014090.8	1274729.7	479495.04	444900.1	913043.5	653846.8	913043.5	948142.7	909199.962	1260827.3	638255.6	984754.6	638255.6	1162148.4	2.63E+05	1017186.58	799946.7	1180993.2	813508.361	811821.591	828030.3	1120863.7	386404	386404	1126055.19	2342506.91	1791416.4	773180.65	2058151.1
SAM14	2279336.9	2279336.9	941264.327	112612.33	941264.327	715888.93	747889.22	938525.0705	937791.2241	941264.327	941264.327	941264.327	941264.327	2.97E+05	2.97E+05	842072.34	44616.95	0	85114.95	78309.91	2407060.83	0	1167587.75	1040869.31	978649.96	967565.76	763097.18	1264534.1	827942.2	1185231.73	1167587.75	937791.2241	2075371.6	1185231.73	646265.26	1049814.9	941264.327	594524.53	742160.259	518111.13	774305.4	981487.9	1264534.1	505487.33	459777.1	910052.6	672089.5	910052.6	985680.5	941264.327	1270743.5	602459.2	942594.8	602459.2	1126818.2	2.97E+05	1051071.02	817985.9	1208503.3	853462.873	851753.57	827989.5	1089952.1	428338.7	428338.7	1158591.65	2370577.3	1813584.2	811511.54	2076179.6
SAM12	2198481.2	2198481.2	943613.661	28587.29	943613.661	705931.7	673410.882	941036.2308	940276.4938	943613.661	943613.661	943613.661	943613.661	2.14E+05	2.14E+05	762155.88	62846.96	85114.95	0	53399.16	2322533.21	85114.95	1082523.56	956205.33	894127.78	883166.97	686307.85	1337571.8	819496.7	1100262.35	1082523.56	940276.4938	1994025.4	1100262.35	643977.7	1120790.7	943613.661	610453.03	667979.361	535010.23	721710.7	1066556.3	1337571.8	524411.72	382177.9	975286.6	705764.8	975286.6	903281.7	943613.661	1317909.3	686846.3	981008.6	686846.3	1138507.6	2.14E+05	966481.28	851678.9	1123765.4	774106.698	772363.7	889628.9	1175053.1	354590.7	354590.7	1073645.56	2285760.07	1731008.7	730036.97	1996256.3
SAM11	2236143.1	2236143.1	894215.756	63786.82	894215.756	659812.24	671046.465	891596.8571	890842.8493	894215.756	894215.756	894215.756	894215.756	2.31E+05	2.31E+05	768324.97	34698.71	78309.91	53399.16	0	2351792.59	78309.91	1105138.99	975488	912704.14	901148.02	687268.26	1293744.4	773036.6	1121664.3	1105138.99	890842.8493	2031012.5	1121664.3	595434.77	1075801.1	894215.756	558151.73	665215.749	482493.55	697732.7	1045936.8	1293744.4	471654.87	425837.7	927501.6	652369.4	927501.6	914673.5	894215.756	1265246.4	671510	1012647.5	671510	1182200.5	2.31E+05	985332.43	798279.9	1152512.5	779226.528	777546.319	840527.8	1151910.4	351746.1	351746.1	1094844.63	2313480.77	1765941.9	739441.12	2035227.6
