"","MeanTemp","Ndays35","Ndays5","Rain"
"MeanTemp",1,0.538539344595207,-0.30410045100283,-0.104682061228222
"Ndays35",0.538539344595207,1,0.0220441538841209,-0.578782937734829
"Ndays5",-0.30410045100283,0.0220441538841209,1,-0.179610431862871
"Rain",-0.104682061228222,-0.578782937734829,-0.179610431862871,1
