sample,MeanTemp,Ndays35,Ndays5,Rain
SAM44,-0.153226416,-0.707518797,1.073684211,0.000150336
SAM45,-0.149891918,-0.633834586,1.073684211,0.000147858
SAM46,-0.168675293,-0.77518797,1.073684211,0.000145035
SAM8,-0.072571335,-0.861654135,-0.081203008,-6.22E-05
WAM55,-0.0891453,-0.272180451,NA,0.000279148
WAM56,-0.029489725,-0.151879699,-0.011278195,0.000263642
WAM57,-0.029489725,-0.151879699,-0.011278195,0.000263642
WAM58,0.057052791,0.369924812,-0.006766917,5.52E-05
WAM59,-0.02240443,-0.616541353,0,0.000587344
WAM60,-0.02240443,-0.616541353,0,0.000587344
WAM63,-0.111011779,-0.242857143,0.92556391,0.000361481
WAM64,-0.111011779,-0.242857143,0.92556391,0.000361481
