	A37114	A36182	A35583	A35582	A35183	ABTC114050	ABTC37891	ABTC114048	ABTC143564	ABTC119685	A37115	ABTC113311	ABTC113310	ABTC113234	ABTC113233	ABTC113232	ABTC113231	ABTC85134	ABTC85133	ABTC73792	ABTC73791	ABTC119496	ABTC38831	ABTC38801	ABTC37976	ABTC37966	A35745	B46574	B46525	B46415	ABTC38802	B54287	B54701	B54119	B54149	B54133	B55279	ABTC119649	B55371	B52751	B53877	B41644	B46630	B54257	B54288	ABTC113312	B55292	B33180	B54256	B48315	B49330	ABTC113313	B48221	ABTC119904	B48236	B54436	B48426	B55501	B52750	B48235	B29378	B32845	B55281	B49357	B49438	B50538	B49358	B54028	ABTC114049	B49626	B41656	B52745	B54435	B29336	B52746	B54458	ABTC84315	B54738	B54114	B54739	B55220	B49452	B32899	B55412	B55160	ABTC119512	B55221	B55255	B55126	B55256	B52435	B55280	B55291	ABTC119786	B32011	B55308	B55370	B54740	B55399	B55400	B55503	B29377.b	B32773	B32774	B54278	B29337.a	B33369	B55435	A36181	B33013	ABTC119851	B54778	B33205
A37115	0	1166682.8	356917.9	356917.9	701478.3	2346794.252	1827588.65	2346794.252	2119629.22	1472116.657	0	2346496.426	2345803.425	2346794.252	2346794.252	2346794.252	2346794.252	1.67E+06	1.67E+06	1.67E+06	1.67E+06	1326166.09	1911993.95	1932972.53	1851082.22	1887229.97	575959.66	2200271.76	2206831.31	2704997.1	1932972.53	887931.99	1903632.38	1030714.48	1086716.6	1102176.14	923218.431	1428038.86	1093210.94	3165720.1	1837466.8	2423385.8	2187151.7	892726.72	887931.99	2345803.425	913909.584	149170.1	892726.72	2140808.77	2943805.2	2346794.252	2225248.96	1479097.664	2181717.97	2059640.78	1745506.2	2883845.1	3165720.1	2184030.15	2296198.67	1477037.1	921040.396	2778009.9	2384948.1	834472.1	2778009.9	1174715.6	2346794.252	2992392.5	2406976.1	2496711.2	2059640.78	2274361.3	2496711.2	2057538.01	1.67E+06	1899427.506	1028746.07	1899427.506	941800.771	2501091.9	773589.1	1208004.441	1258868.16	1332442.534	941800.771	943269.458	1257685.45	941692.15	1903632.38	923218.431	913909.584	1332605.396	2680665.8	922078.45	1093210.94	1900439.429	1073484.85	1073484.85	3000537.6	2296198.67	1641844.3	1641844.3	915619.48	2274361.3	589141.29	1215408.973	1166682.8	132364.6	1308450.99	1786033.1	204273
ABTC113311	2346496.4	2569579.4	2700310.1	2700310.1	2433180	3203.486	934501.86	3203.486	258476.23	879264.467	2346496.4	0	799.9914	3203.486	3203.486	3203.486	3203.486	9.31E+05	9.31E+05	9.31E+05	9.31E+05	1022153.03	906518.29	938525.07	941036.23	891596.86	2661597.72	227177.89	203009.86	374622.3	938525.07	1458569.38	2234127.32	1316750.2	1263564.7	1248119.24	2132976.215	923920.11	2105522.2	1117980.7	2424323.2	1833332	162062.6	1454555.56	1458569.38	799.9914	2136629.977	2495069.3	1454555.56	298333.48	937778.4	3203.486	358187.3	872730.733	430856.92	2094987.51	601461.3	1388925.8	1117980.7	446498.28	1858509.49	1183854	2132672.437	768327.7	392011.9	2426251.8	768327.7	1172210.1	3203.486	700858.2	1871408.6	1189981.8	2094987.51	1840837.94	1189981.8	2063461.25	9.31E+05	2309216.854	1318115.63	2309216.854	2184876.086	347590	1581618.2	2092020.343	2294071.12	1014743.823	2184876.086	2180314.922	2292339.89	2189283.525	2234127.32	2132976.215	2136629.977	1014678.499	686141.7	2143653.17	2105522.2	2308673.183	2069051.65	2069051.65	1432976.7	1858509.49	829150.3	829150.3	1431095.46	1840837.94	2599277.28	2091420.167	2569579.4	2214180.5	1046097.08	2131547.5	2533998.1
ABTC113310	2345803.4	2568780.1	2699624.8	2699624.8	2432635.7	3723.12	933735	3723.12	257677.21	878540.361	2345803.4	799.9914	0	3723.12	3723.12	3723.12	3723.12	9.30E+05	9.30E+05	9.31E+05	9.31E+05	1021442.67	905774.09	937791.22	940276.49	890842.85	2660997.02	227010.72	202800.93	375157.5	937791.22	1457875.76	2233375.67	1316047.17	1262851.42	1247405.67	2132181.113	923195.53	2104722.54	1118106.3	2423555.2	1832724.9	161310.2	1453870.95	1457875.76	0	2135835.271	2494378.5	1453870.95	297556.85	937802.3	3723.12	357542.51	872005.172	430184.72	2094267.89	600782.5	1388633.7	1118106.3	445833.26	1857862.06	1183054.5	2131877.428	768288.1	391626.3	2425462.7	768288.1	1171525	3723.12	701308.7	1870791.7	1189507.3	2094267.89	1840186.25	1189507.3	2062743.2	9.30E+05	2308461.128	1317416.43	2308461.128	2184080.235	347491.6	1580902.2	2091220.643	2293271.7	1014039.922	2184080.235	2179519.01	2291540.45	2188487.683	2233375.67	2132181.113	2135835.271	1013973.869	686037	2142858.11	2104722.54	2307917.61	2068252.26	2068252.26	1432745.9	1857862.06	828352.1	828352.1	1430406.95	1840186.25	2598688.95	2090620.551	2568780.1	2213488.1	1045369.82	2130785	2533291.9
ABTC113234	2346794.3	2571321.8	2700546.4	2700546.4	2432524.2	0	937021.59	0	260208.89	879832.926	2346794.3	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	225022.95	200988.01	375344.3	941264.33	1458873.75	2236761.18	1317131.73	1264033.83	1248590.96	2134527.568	924492.64	2107296.83	1120276.3	2426832.2	1836439	162945.5	1454789.13	1458873.75	3723.1201	2138169.026	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	2097794.29	601655.8	1392036.5	1120276.3	449490.58	1861542.9	1185800.9	2134220.858	771034.6	395195.6	2427648.4	771034.6	1172448.3	0	701986.2	1874500.3	1193184.7	2097794.29	1843861.84	1193184.7	2066274.96	9.33E+05	2311822.713	1318465.5	2311822.713	2186452.1	350418	1582111.1	2093941.35	2296019.26	1015133.896	2186452.1	2181893.013	2294287.1	2190859.215	2236761.18	2134527.568	2138169.026	1015074.676	688979.5	2145203.41	2107296.83	2311280.124	2070800.38	2070800.38	1436015.4	1861542.9	830827.8	830827.8	1431359.4	1843861.84	2598867.29	2093350.455	2571321.8	2214473.3	1046693.99	2134102.6	2534404.2
ABTC113233	2346794.3	2571321.8	2700546.4	2700546.4	2432524.2	0	937021.59	0	260208.89	879832.926	2346794.3	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	225022.95	200988.01	375344.3	941264.33	1458873.75	2236761.18	1317131.73	1264033.83	1248590.96	2134527.568	924492.64	2107296.83	1120276.3	2426832.2	1836439	162945.5	1454789.13	1458873.75	3723.1201	2138169.026	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	2097794.29	601655.8	1392036.5	1120276.3	449490.58	1861542.9	1185800.9	2134220.858	771034.6	395195.6	2427648.4	771034.6	1172448.3	0	701986.2	1874500.3	1193184.7	2097794.29	1843861.84	1193184.7	2066274.96	9.33E+05	2311822.713	1318465.5	2311822.713	2186452.1	350418	1582111.1	2093941.35	2296019.26	1015133.896	2186452.1	2181893.013	2294287.1	2190859.215	2236761.18	2134527.568	2138169.026	1015074.676	688979.5	2145203.41	2107296.83	2311280.124	2070800.38	2070800.38	1436015.4	1861542.9	830827.8	830827.8	1431359.4	1843861.84	2598867.29	2093350.455	2571321.8	2214473.3	1046693.99	2134102.6	2534404.2
ABTC113232	2346794.3	2571321.8	2700546.4	2700546.4	2432524.2	0	937021.59	0	260208.89	879832.926	2346794.3	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	225022.95	200988.01	375344.3	941264.33	1458873.75	2236761.18	1317131.73	1264033.83	1248590.96	2134527.568	924492.64	2107296.83	1120276.3	2426832.2	1836439	162945.5	1454789.13	1458873.75	3723.1201	2138169.026	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	2097794.29	601655.8	1392036.5	1120276.3	449490.58	1861542.9	1185800.9	2134220.858	771034.6	395195.6	2427648.4	771034.6	1172448.3	0	701986.2	1874500.3	1193184.7	2097794.29	1843861.84	1193184.7	2066274.96	9.33E+05	2311822.713	1318465.5	2311822.713	2186452.1	350418	1582111.1	2093941.35	2296019.26	1015133.896	2186452.1	2181893.013	2294287.1	2190859.215	2236761.18	2134527.568	2138169.026	1015074.676	688979.5	2145203.41	2107296.83	2311280.124	2070800.38	2070800.38	1436015.4	1861542.9	830827.8	830827.8	1431359.4	1843861.84	2598867.29	2093350.455	2571321.8	2214473.3	1046693.99	2134102.6	2534404.2
ABTC113231	2346794.3	2571321.8	2700546.4	2700546.4	2432524.2	0	937021.59	0	260208.89	879832.926	2346794.3	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	225022.95	200988.01	375344.3	941264.33	1458873.75	2236761.18	1317131.73	1264033.83	1248590.96	2134527.568	924492.64	2107296.83	1120276.3	2426832.2	1836439	162945.5	1454789.13	1458873.75	3723.1201	2138169.026	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	2097794.29	601655.8	1392036.5	1120276.3	449490.58	1861542.9	1185800.9	2134220.858	771034.6	395195.6	2427648.4	771034.6	1172448.3	0	701986.2	1874500.3	1193184.7	2097794.29	1843861.84	1193184.7	2066274.96	9.33E+05	2311822.713	1318465.5	2311822.713	2186452.1	350418	1582111.1	2093941.35	2296019.26	1015133.896	2186452.1	2181893.013	2294287.1	2190859.215	2236761.18	2134527.568	2138169.026	1015074.676	688979.5	2145203.41	2107296.83	2311280.124	2070800.38	2070800.38	1436015.4	1861542.9	830827.8	830827.8	1431359.4	1843861.84	2598867.29	2093350.455	2571321.8	2214473.3	1046693.99	2134102.6	2534404.2
ABTC85134	1668308.1	1650333.9	2020012.5	2020012.5	1996085.5	933342.788	185333.45	933342.788	676185.67	473526.889	1668308.1	931264.8991	930468.0757	933342.788	933342.788	933342.788	933342.788	0.00E+00	1.49E+01	4.46E+01	5.95E+01	551115.44	262643.99	297257.81	213797.7	231287.88	2123142.03	930851.03	917360.4	1193895.6	297257.81	873879.73	1354747.75	744581.14	682018.1	670705.16	1233575.285	481214.87	1185623.76	1500176.3	1520923.8	1200591.2	787223	890394.11	873879.73	930468.0757	1238577.908	1813639.3	890394.11	638021.17	1279287.9	933342.788	651462.56	468859.452	584919.77	1266722.45	577766	1276734.5	1500176.3	580031.55	1159133.49	258445	1233604.517	1120292	782447.5	1541846.4	1120292	689622.1	933342.788	1411182.9	1219346.5	899642.4	1266722.45	1136160.27	899642.4	1238786.71	2.98E+01	1423074.385	754569.69	1423074.385	1282237.613	922056.9	924159	1163924.716	1364832.12	563875.117	1282237.613	1277500.235	1363130.97	1286636.948	1354747.75	1233575.285	1238577.908	562084.849	1027050.6	1244256.26	1185623.76	1422747.463	1151273.95	1151273.95	1383169	1159133.49	169781.4	169781.4	863587.88	1136160.27	2083743.69	1162965.822	1650333.9	1544892.7	517122	1238317.9	1822548.1
ABTC85133	1668296.5	1650319.1	2020000.6	2020000.6	1996077.8	933357.198	185338.27	933357.198	676199.88	473528.656	1668296.5	931279.3185	930482.4949	933357.198	933357.198	933357.198	933357.198	1.49E+01	0.00E+00	2.98E+01	4.46E+01	551113.55	262650.91	297263.37	213802.33	231295.58	2123132.41	930864.12	917373.67	1193910.5	297263.37	873871.8	1354736.2	744574.29	682011.48	670698.76	1233560.478	481215.27	1185608.9	1500188.7	1520911.2	1200587.6	787237	890386.58	873871.8	930482.4949	1238563.111	1813627.5	890386.58	638035.81	1279300.4	933357.198	651477.43	468861.404	584934.57	1266712.83	577774.9	1276741.4	1500188.7	580046.31	1159128.13	258430.1	1233589.712	1120305	782462.2	1541831.7	1120305	689618.1	933357.198	1411197.5	1219342.3	899648.2	1266712.83	1136154.82	899648.2	1238777.26	1.49E+01	1423062.521	754562.99	1423062.521	1282222.779	922071.6	924149.2	1163909.981	1364817.45	563873.601	1282222.779	1277485.4	1363116.29	1286622.113	1354736.2	1233560.478	1238563.111	562083.313	1027063.9	1244241.45	1185608.9	1422735.608	1151259.08	1151259.08	1383176.5	1159128.13	169788.1	169788.1	863580.42	1136154.82	2083734.5	1162951.101	1650319.1	1544881.4	517118.92	1238305.9	1822535.8
ABTC73792	1668273.3	1650289.4	2019976.8	2019976.8	1996062.3	933386.018	185347.91	933386.018	676228.29	473532.192	1668273.3	931308.1575	930511.3333	933386.018	933386.018	933386.018	933386.018	4.46E+01	2.98E+01	0.00E+00	1.49E+01	551109.77	262664.76	297274.49	213811.6	231310.99	2123113.18	930890.32	917400.22	1193940.2	297274.49	873855.95	1354713.08	744560.59	681998.26	670685.95	1233530.863	481216.07	1185579.17	1500213.3	1520885.9	1200580.3	787265.1	890371.54	873855.95	930511.3333	1238533.517	1813603.9	890371.54	638065.1	1279325.4	933386.018	651507.16	468865.31	584964.17	1266693.6	577792.8	1276755.3	1500213.3	580075.81	1159117.41	258400.4	1233560.103	1120331.1	782491.4	1541802.3	1120331.1	689610	933386.018	1411226.6	1219334	899659.8	1266693.6	1136143.9	899659.8	1238758.34	1.49E+01	1423038.792	754549.59	1423038.792	1282193.111	922101.1	924129.5	1163880.512	1364788.09	563870.569	1282193.111	1277455.731	1363086.93	1286592.445	1354713.08	1233530.863	1238533.517	562080.242	1027090.6	1244211.83	1185579.17	1422711.896	1151229.33	1151229.33	1383191.6	1159117.41	169801.6	169801.6	863565.49	1136143.9	2083716.11	1162921.659	1650289.4	1544858.8	517112.76	1238281.8	1822511.2
