	A37114	A36182	A35583	A35582	A35183	ABTC114050	ABTC37891	ABTC114048	ABTC143564	ABTC119685	A37115	ABTC113311	ABTC113310	ABTC113234	ABTC113233	ABTC113232	ABTC113231	ABTC85134	ABTC85133	ABTC73792	ABTC73791	ABTC119496	ABTC38831	ABTC38801	ABTC37976	ABTC37966	A35745	B46574	B46525	B46415	ABTC38802	B54287	B54701	B54119	B54149	B54133	B55279	ABTC119649	B55371	B52751	B53877	B41644	B46630	B54257	B54288	ABTC113312	B55292	B33180	B54256	B48315	B49330	ABTC113313	B48221	ABTC119904	B48236	B54436	B48426	B55501	B52750	B48235	B29378	B32845	B55281	B49357	B49438	B50538	B49358	B54028	ABTC114049	B49626	B41656	B52745	B54435	B29336	B52746	B54458	ABTC84315	B54738	B54114	B54739	B55220	B49452	B32899	B55412	B55160	ABTC119512	B55221	B55255	B55126	B55256	B52435	B55280	B55291	ABTC119786	B32011	B55308	B55370	B54740	B55399	B55400	B55503	B29377.b	B32773	B32774	B54278	B29337.a	B33369	B55435	A36181	B33013	ABTC119851	B54778	B33205
ABTC73791	1668261.7	1650274.5	2019964.9	2019964.9	1996054.5	933400.428	185352.74	933400.428	676242.5	473533.96	1668261.7	931322.577	930525.7525	933400.428	933400.428	933400.428	933400.428	5.95E+01	4.46E+01	1.49E+01	0.00E+00	551107.88	262671.68	297280.05	213816.24	231318.69	2123103.56	930903.42	917413.49	1193955.1	297280.05	873848.03	1354701.52	744553.75	681991.64	670679.55	1233516.056	481216.47	1185564.31	1500225.6	1520873.3	1200576.7	787279.2	890364.01	873848.03	930525.7525	1238518.72	1813592.2	890364.01	638079.74	1279337.9	933400.428	651522.02	468867.264	584978.97	1266683.98	577801.7	1276762.2	1500225.6	580090.56	1159112.05	258385.5	1233545.299	1120344.2	782506.1	1541787.6	1120344.2	689605.9	933400.428	1411241.2	1219329.8	899665.7	1266683.98	1136138.45	899665.7	1238748.88	2.98E+01	1423026.928	754542.9	1423026.928	1282178.277	922115.9	924119.7	1163865.777	1364773.41	563869.054	1282178.277	1277440.896	1363072.25	1286577.611	1354701.52	1233516.056	1238518.72	562078.707	1027103.9	1244197.03	1185564.31	1422700.041	1151214.45	1151214.45	1383199.1	1159112.05	169808.4	169808.4	863558.03	1136138.45	2083706.92	1162906.938	1650274.5	1544847.5	517109.68	1238269.7	1822499
ABTC119496	1326166.1	1696361.7	1681495.2	1681495.2	1509171.9	1022597.909	733606	1022597.909	794274.65	147519.36	1326166.1	1022153.029	1021442.665	1022597.909	1022597.909	1022597.909	1022597.909	5.51E+05	5.51E+05	5.51E+05	5.51E+05	0	802494.47	842072.34	762155.88	768324.97	1686671.41	894728.27	897106.71	1378939.4	842072.34	439627.07	1709005.32	295463.15	241578.93	226180.1	1232663.876	105661.56	1262012.69	1908806.5	1819752.8	1725405.1	861760.4	439711.2	439627.07	1021442.665	1233430.238	1475117	439711.2	821460.93	1688089.1	1022597.909	920288.22	154834.343	889479.58	1687636.7	425278	1803186.8	1908806.5	895477.3	1664372.62	579994.1	1231721.417	1510722.8	1084523.9	1485705	1510722.8	165774.4	1022597.909	1671974.7	1738097.1	1437913.5	1687636.7	1640436.7	1437913.5	1664750.89	5.51E+05	1762000.538	297920.75	1762000.538	1287776.501	1187691.1	559816.4	1291930.198	1488631.1	19017.01	1287776.501	1283881.678	1486723.56	1291920.354	1709005.32	1232663.876	1233430.238	17268.036	1409764.6	1242613.08	1262012.69	1762065.676	1220864.45	1220864.45	1902395	1664372.62	421830.4	421830.4	414523.71	1640436.7	1634369.05	1294240.515	1696361.7	1194078.2	55047.26	1576867.8	1511951.4
ABTC38831	1911994	1776683.6	2259964.1	2259964.1	2258255.6	909199.962	84413.35	909199.962	679355.29	705735.82	1911994	906518.2918	905774.0924	909199.962	909199.962	909199.962	909199.962	2.63E+05	2.63E+05	2.63E+05	2.63E+05	802494.47	0	44616.95	62846.96	34698.71	2380163.99	969535.75	950206.39	1094704.7	44616.95	1135908.53	1328122.59	1007222.34	944611.32	933207.1	1394815.523	721847.04	1319492.13	1274729.7	1523748.6	1019701.6	792031.5	1152818.95	1135908.53	905774.0924	1401102.373	2055261.6	1152818.95	612126.93	1057970.9	909199.962	567434.28	699909.883	491242.8	1193057.73	729773	1014090.8	1274729.7	479495.04	1005696.67	444900.1	1395194.932	913043.5	653846.8	1710585.8	913043.5	948142.7	909199.962	1260827.3	1046525.2	638255.6	1193057.73	984754.63	638255.6	1162148.36	2.63E+05	1403952.058	1017186.58	1403952.058	1438781.49	799946.7	1180993.2	1276723.903	1468510.45	813508.361	1438781.49	1433954.336	1466985.58	1443070.496	1328122.59	1394815.523	1401102.373	811821.591	828030.3	1405239.33	1319492.13	1403373.614	1289972.81	1289972.81	1120863.7	1005696.67	386404	386404	1126055.19	984754.63	2342506.91	1274336.429	1776683.6	1791416.4	773180.65	1228630.3	2058151.1
ABTC38801	1932972.5	1769735.7	2279336.9	2279336.9	2289826.5	941264.327	112612.33	941264.327	715888.93	747889.22	1932972.5	938525.0705	937791.2241	941264.327	941264.327	941264.327	941264.327	2.97E+05	2.97E+05	2.97E+05	2.97E+05	842072.34	44616.95	0	85114.95	78309.91	2407060.83	1007762.29	987993.67	1115033.7	0	1167587.75	1298460.29	1040869.31	978649.96	967565.76	1395598.951	763097.18	1315196.11	1264534.1	1497548.3	975719	827942.2	1185231.73	1167587.75	937791.2241	1402127.896	2075371.6	1185231.73	646265.26	1049814.9	941264.327	594524.53	742160.259	518111.13	1157982.67	774305.4	981487.9	1264534.1	505487.33	963353.3	459777.1	1396048.351	910052.6	672089.5	1712135.1	910052.6	985680.5	941264.327	1270743.5	1002911.6	602459.2	1157982.67	942594.81	602459.2	1126818.15	2.97E+05	1375071.15	1051071.02	1375071.15	1438484.5	817985.9	1208503.3	1268743.107	1458250.33	853462.873	1438484.5	1433653.605	1456760.9	1442738.798	1298460.29	1395598.951	1402127.896	851753.57	827989.5	1405938.53	1315196.11	1374460.875	1286698.24	1286698.24	1089952.1	963353.3	428338.7	428338.7	1158591.65	942594.81	2370577.3	1266111.08	1769735.7	1813584.2	811511.54	1201564.2	2076179.6
ABTC37976	1851082.2	1719047.5	2198481.2	2198481.2	2204734.9	943613.661	28587.29	943613.661	705931.7	673410.882	1851082.2	941036.2308	940276.4938	943613.661	943613.661	943613.661	943613.661	2.14E+05	2.14E+05	2.14E+05	2.14E+05	762155.88	62846.96	85114.95	0	53399.16	2322533.21	991016.67	972851.82	1143871.3	85114.95	1082523.56	1293853.67	956205.33	894127.78	883166.97	1333742.661	686307.85	1260586.28	1337571.8	1484184.1	1025971.3	819496.7	1100262.35	1082523.56	940276.4938	1339946.713	1994025.4	1100262.35	643977.7	1120790.7	943613.661	610453.03	667979.361	535010.23	1168821.55	721710.7	1066556.3	1337571.8	524411.72	1002686.27	382177.9	1334098.266	975286.6	705764.8	1649207.1	975286.6	903281.7	943613.661	1317909.3	1050069.3	686846.3	1168821.55	981008.58	686846.3	1138507.56	2.14E+05	1368373.249	966481.28	1368373.249	1378083.038	851678.9	1123765.4	1219917.943	1413097.24	774106.698	1378083.038	1373258.494	1411548.61	1382383.934	1293853.67	1333742.661	1339946.713	772363.7	889628.9	1344192.74	1260586.28	1367844.12	1230581.19	1230581.19	1175053.1	1002686.27	354590.7	354590.7	1073645.56	981008.58	2285760.07	1217685.658	1719047.5	1731008.7	730036.97	1190613.5	1996256.3
ABTC37966	1887230	1771721.1	2236143.1	2236143.1	2227372.2	894215.756	63786.82	894215.756	659812.24	671046.465	1887230	891596.8571	890842.8493	894215.756	894215.756	894215.756	894215.756	2.31E+05	2.31E+05	2.31E+05	2.31E+05	768324.97	34698.71	78309.91	53399.16	0	2351792.59	947661.49	928872.97	1090611.8	78309.91	1105138.99	1342586.89	975488	912704.14	901148.02	1384179.747	687268.26	1312747.86	1293744.4	1534942.5	1050498.3	773036.6	1121664.3	1105138.99	890842.8493	1390282.549	2031012.5	1121664.3	595434.77	1075801.1	894215.756	558151.73	665215.749	482493.55	1212833.66	697732.7	1045936.8	1293744.4	471654.87	1033835.16	425837.7	1384506.878	927501.6	652369.4	1699209.8	927501.6	914673.5	894215.756	1265246.4	1076616.2	671510	1212833.66	1012647.53	671510	1182200.47	2.31E+05	1417649.163	985332.43	1417649.163	1428922.618	798279.9	1152512.5	1272872.854	1466318.66	779226.528	1428922.618	1424101.362	1464766.57	1433234.858	1342586.89	1384179.747	1390282.549	777546.319	840527.8	1394659.22	1312747.86	1417100.434	1282470.75	1282470.75	1151910.4	1033835.16	351746.1	351746.1	1094844.63	1012647.53	2313480.77	1270679.355	1771721.1	1765941.9	739441.12	1240782.5	2035227.6
A35745	575959.7	1704083.7	467132.9	467132.9	338748.5	2661261.269	2296691.34	2661261.269	2464279.35	1832653.492	575959.7	2661597.725	2660997.016	2661261.269	2661261.269	2661261.269	2661261.269	2.12E+06	2.12E+06	2.12E+06	2.12E+06	1686671.41	2380163.99	2407060.83	2322533.21	2351792.59	0	2482476.51	2494524.26	3033939.7	2407060.83	1263725.49	2479510.83	1406682.27	1469836.76	1484145.75	1498499.531	1792300.84	1668926.38	3589602.2	2408771.3	2980786.1	2511489.5	1255007.21	1263725.49	2660997.016	1489111.322	510186	1255007.21	2502584.95	3367650.9	2661261.269	2606756.24	1840143.202	2575365.9	2633893.21	2070389.4	3380554.1	3589602.2	2580708.93	2858039.55	1967303.5	1496331.193	3193199.1	2771147.7	1381564.8	3193199.1	1521617.7	2661261.269	3344627.4	2967025.6	2993671.7	2633893.21	2835685.7	2993671.7	2631093.44	2.12E+06	2474503.01	1400182.55	2474503.01	1515277.073	2870561.6	1199281.4	1783881.796	1828299.86	1687260.125	1515277.073	1516946.932	1827205.57	1514966.118	2479510.83	1498499.531	1489111.322	1687998.795	3092857.4	1497081.51	1668926.38	2475529.716	1649443.77	1649443.77	3493423.3	2858039.55	2063283.3	2063283.3	1281834.41	2835685.7	85891.48	1791292.821	1704083.7	645451.5	1685189.7	2361914.2	599352.6
B46574	2200271.8	2521765.8	2549773.9	2549773.9	2240754.6	225022.951	978239.8	225022.951	296706.72	763138.033	2200271.8	227177.887	227010.7188	225022.951	225022.951	225022.951	225022.951	9.31E+05	9.31E+05	9.31E+05	9.31E+05	894728.27	969535.75	1007762.29	991016.67	947661.49	2482476.51	0	26795.46	582804.5	1007762.29	1317114.81	2275869.78	1181206.5	1133979.35	1118883.86	2071709.939	806872.56	2062646.35	1344873.9	2450588.6	1951581.5	197171.6	1309031.41	1317114.81	227010.7188	2074372.313	2347413.1	1309031.41	380256.78	1161902.1	225022.951	496289.45	757687.937	553351.36	2159824.75	472359.8	1583092.3	1344873.9	570538.53	1960933.92	1165580.6	2071176.102	989480.3	582767.2	2351615	989480.3	1029819.6	225022.951	915351.6	1985849.6	1351011.6	2159824.75	1941562.92	1351011.6	2129436.9	9.31E+05	2347222.156	1180655.37	2347222.156	2125284.225	567002.1	1450459.6	2061861.842	2265206.32	884026.813	2125284.225	2120912.712	2263401	2129642.49	2275869.78	2071709.939	2074372.313	884343.169	903243.9	2082239.63	2062646.35	2346810.098	2024215.47	2024215.47	1635409	1960933.92	797089.7	797089.7	1287514.89	1941562.92	2416962.36	2062086.462	2521765.8	2068095.8	927953.27	2164520.2	2393402.3
B46525	2206831.3	2515268.4	2557119.8	2557119.8	2255205	200988.005	960602.25	200988.005	274684.2	763422.094	2206831.3	203009.8609	202800.9276	200988.005	200988.005	200988.005	200988.005	9.17E+05	9.17E+05	9.17E+05	9.17E+05	897106.71	950206.39	987993.67	972851.82	928872.97	2494524.26	26795.46	0	563411.9	987993.67	1322354.14	2259698.76	1185364.3	1137161.19	1121988.87	2066604.381	807442.64	2055334.88	1319973.1	2435998.8	1928843.7	172258.9	1314899.37	1322354.14	202800.9276	2069389.711	2354248.2	1314899.37	356721.56	1136120.8	200988.005	470751.74	757791.695	528735.58	2141475.15	473051.8	1556401.6	1319973.1	545905.62	1939374.72	1154525.3	2066098.357	963332	555991.3	2348317.6	963332	1034807.6	200988.005	895249.1	1963399	1325454.1	2141475.15	1920126.84	1325454.1	2110972.83	9.17E+05	2331440.001	1185107.28	2331440.001	2120005.922	540861.7	1454268.6	2053082.954	2256394.64	886882.245	2120005.922	2115608.804	2254596.79	2124372.676	2259698.76	2066604.381	2069389.711	887140.645	876804.5	2077158.4	2055334.88	2331015.089	2017110.02	2017110.02	1608618.3	1939374.72	786587.7	786587.7	1293053.26	1920126.84	2429565.07	2053214.077	2515268.4	2074578	929026.31	2149141.7	2399177.1
B46415	2704997.1	2843148.6	3060425.1	3060425.1	2807758.3	375344.348	1145958.73	375344.348	586085.04	1232940.84	2704997.1	374622.2975	375157.5118	375344.348	375344.348	375344.348	375344.348	1.19E+06	1.19E+06	1.19E+06	1.19E+06	1378939.43	1094704.7	1115033.71	1143871.28	1090611.81	3033939.65	582804.54	563411.94	0	1115033.71	1818188.44	2398296.72	1674390.44	1618553.65	1603079.02	2424972.85	1277144.37	2378847.04	828692.1	2607516.7	1878600.1	523038.5	1816198.99	1818188.44	375157.5118	2429570.305	2854004.7	1816198.99	578361.34	695075.8	375344.348	543237.63	1226004.42	614052.18	2226781.6	966950.4	1265417.7	828692.1	622274.28	1932753.36	1452318.1	2424901.179	567428.7	444232.9	2728557.2	567428.7	1534368.7	375344.348	333411.3	1922861.2	1172428.3	2226781.6	1918690.66	1172428.3	2194163.58	1.19E+06	2477501.441	1676723.27	2477501.441	2474625.793	300775.4	1934788.4	2351557.653	2549398.16	1373220.844	2474625.793	2469923.303	2547773.87	2479034.951	2398296.72	2424972.85	2429570.305	1372975.651	526285.8	2435677.93	2378847.04	2476775.739	2344950.82	2344950.82	1278591.2	1932753.36	1127953.2	1127953.2	1791940.76	1918690.66	2972433.23	2350036.25	2843148.6	2572978.8	1397696.89	2310323.4	2888644.6
ABTC38802	1932972.5	1769735.7	2279336.9	2279336.9	2289826.5	941264.327	112612.33	941264.327	715888.93	747889.22	1932972.5	938525.0705	937791.2241	941264.327	941264.327	941264.327	941264.327	2.97E+05	2.97E+05	2.97E+05	2.97E+05	842072.34	44616.95	0	85114.95	78309.91	2407060.83	1007762.29	987993.67	1115033.7	0	1167587.75	1298460.29	1040869.31	978649.96	967565.76	1395598.951	763097.18	1315196.11	1264534.1	1497548.3	975719	827942.2	1185231.73	1167587.75	937791.2241	1402127.896	2075371.6	1185231.73	646265.26	1049814.9	941264.327	594524.53	742160.259	518111.13	1157982.67	774305.4	981487.9	1264534.1	505487.33	963353.3	459777.1	1396048.351	910052.6	672089.5	1712135.1	910052.6	985680.5	941264.327	1270743.5	1002911.6	602459.2	1157982.67	942594.81	602459.2	1126818.15	2.97E+05	1375071.15	1051071.02	1375071.15	1438484.5	817985.9	1208503.3	1268743.107	1458250.33	853462.873	1438484.5	1433653.605	1456760.9	1442738.798	1298460.29	1395598.951	1402127.896	851753.57	827989.5	1405938.53	1315196.11	1374460.875	1286698.24	1286698.24	1089952.1	963353.3	428338.7	428338.7	1158591.65	942594.81	2370577.3	1266111.08	1769735.7	1813584.2	811511.54	1201564.2	2076179.6
B54287	887932	1434821.6	1242403.4	1242403.4	1122360.6	1458873.747	1055110.66	1458873.747	1233891.79	586714.318	887932	1458569.383	1457875.755	1458873.747	1458873.747	1458873.747	1458873.747	8.74E+05	8.74E+05	8.74E+05	8.74E+05	439627.07	1135908.53	1167587.75	1082523.56	1105138.99	1263725.49	1317114.81	1322354.14	1818188.4	1167587.75	0	1693844.95	145642.67	207049.85	221863.4	979769.789	543349.54	1063534.83	2326272.4	1746902.2	1910823.5	1299303.5	32280.54	0	1457875.755	977306.339	1036589.9	32280.54	1259709.15	2104188.4	1458873.747	1353154.38	593884.288	1316677.91	1739652.38	857764.7	2149075.2	2326272.4	1321049.72	1819935.18	769792.1	978229.551	1930596.6	1516071.4	1169986.7	1930596.6	287653.2	1458873.747	2111007.2	1912094.7	1767781.1	1739652.38	1795732.08	1767781.1	1723584.65	8.74E+05	1728970.081	141798.49	1728970.081	1032864.526	1624368	152072.6	1129386.706	1300499.55	444975.099	1032864.526	1030044.158	1298618.72	1036339.126	1693844.95	979769.789	977306.339	445212.949	1830624.3	987909.51	1063534.83	1729391.073	1022924.62	1022924.62	2256768.2	1819935.18	800225.6	800225.6	32944.75	1795732.08	1217878.42	1133945.182	1434821.6	755632.8	427595.83	1557495.6	1077181.7
B54701	1903632.4	968064.9	2126718.5	2126718.5	2545432.7	2236761.18	1302528.98	2236761.18	1998328.17	1725774.734	1903632.4	2234127.319	2233375.666	2236761.18	2236761.18	2236761.18	2236761.18	1.35E+06	1.35E+06	1.35E+06	1.35E+06	1709005.32	1328122.59	1298460.29	1293853.67	1342586.89	2479510.83	2275869.78	2259698.76	2398296.7	1298460.29	1693844.95	0	1669574.33	1642430.49	1644245.62	982018.955	1706601.8	810778.09	2288737.7	241474.8	817400.9	2112114.2	1725873.18	1693844.95	2233375.666	991576.745	1986446.4	1725873.18	1937767.6	2126156.9	2236761.18	1892773.49	1725094.314	1816360.55	258380.39	1920280.2	1663849.3	2288737.7	1803363.5	670945.28	1163695.2	984158.836	2055683.4	1955146.1	1175466.9	2055683.4	1744056.4	2236761.18	2496559.7	772237.6	1400199.5	258380.39	664287.91	1400199.5	282898.03	1.35E+06	82331.017	1682360.07	82331.017	970704.893	2097547.7	1604149.7	695631.152	690964.68	1727921.092	970704.893	968404.322	691368.47	971673.253	0	982018.955	991576.745	1726080.592	2006909.2	984141.39	810778.09	81309.429	830501.14	830501.14	1776210.2	670945.28	1511423	1511423	1712323.46	664287.91	2489116.29	688223.932	968064.9	1851166	1654374.83	136384.2	1922535.5
B54119	1030714.5	1498020.9	1386071.8	1386071.8	1254303.4	1317131.734	928279.38	1317131.734	1089477.61	441935.215	1030714.5	1316750.2	1316047.167	1317131.734	1317131.734	1317131.734	1317131.734	7.45E+05	7.45E+05	7.45E+05	7.45E+05	295463.15	1007222.34	1040869.31	956205.33	975488	1406682.27	1181206.5	1185364.3	1674390.4	1040869.31	145642.67	1669574.33	0	63825.76	77542.59	1035303.144	398272.98	1098358.82	2182920.2	1742592.6	1825486.3	1156799.6	151758.16	145642.67	1316047.167	1034142.887	1179654.5	151758.16	1114294.63	1960993.5	1317131.734	1207575.9	449031.885	1171541.91	1693833.46	717270.3	2021305.1	2182920.2	1176089.94	1742835.48	668193.6	1033989.346	1786699.9	1370596.6	1253691.8	1786699.9	154891.9	1317131.734	1965749.9	1830089.1	1643005.6	1693833.46	1718564.38	1643005.6	1675481.21	7.45E+05	1710949.192	13087.05	1710949.192	1089898.921	1478749.6	269637.6	1151314.742	1334122.74	302018.175	1089898.921	1086603.569	1332213.19	1093689.718	1669574.33	1035303.144	1034142.887	302111.067	1686533	1044297.33	1098358.82	1711253.365	1056946.59	1056946.59	2127111.8	1742835.48	660305.9	660305.9	124851.69	1718564.38	1359073.48	1155087.267	1498020.9	898615.2	281959.03	1533500.7	1217340.5
B54149	1086716.6	1509584.3	1442787.3	1442787.3	1317927.1	1264033.834	866106.87	1264033.834	1032941.75	385663.308	1086716.6	1263564.698	1262851.418	1264033.834	1264033.834	1264033.834	1264033.834	6.82E+05	6.82E+05	6.82E+05	6.82E+05	241578.93	944611.32	978649.96	894127.78	912704.14	1469836.76	1133979.35	1137161.19	1618553.6	978649.96	207049.85	1642430.49	63825.76	0	15477.81	1045221.863	341410.85	1098603.73	2119807.9	1723579.5	1774891.5	1102925.9	215276.16	207049.85	1262851.418	1044661.036	1235826.3	215276.16	1055542.15	1897818.5	1264033.834	1146739.83	392559.644	1109684.82	1658014.01	666464.4	1958618.9	2119807.9	1114009.39	1695205.12	614436.8	1044018.775	1723823.7	1309377.6	1275747.5	1723823.7	126745.6	1264033.834	1907274.4	1780637.8	1580973.9	1658014.01	1670939.14	1580973.9	1638802.68	6.82E+05	1686283.827	72698.73	1686283.827	1100193.286	1418954.8	318238.9	1145577.29	1332753.81	250437.368	1100193.286	1096698.959	1330838.69	1104108.227	1642430.49	1045221.863	1044661.036	250266.135	1623761.1	1054551.6	1098603.73	1686539.16	1057073.83	1057073.83	2064094.3	1695205.12	596494.9	596494.9	188258.57	1670939.14	1422616.96	1148985.706	1509584.3	954937.3	222271.96	1506788.1	1270886.2
B54133	1102176.1	1520037.3	1458229	1458229	1330618	1248590.962	855077.5	1248590.962	1017475.58	370185.792	1102176.1	1248119.237	1247405.667	1248590.962	1248590.962	1248590.962	1248590.962	6.71E+05	6.71E+05	6.71E+05	6.71E+05	226180.1	933207.1	967565.76	883166.97	901148.02	1484145.75	1118883.86	1121988.87	1603079	967565.76	221863.4	1644245.62	77542.59	15477.81	0	1055504.228	325937.28	1107002.54	2105461	1727469.7	1769358.9	1087464.7	229294.9	221863.4	1247405.667	1055052.215	1251283	229294.9	1040181.42	1883511.2	1248590.962	1131638.77	377083.371	1094814.55	1657384.53	651149	1947083.9	2105461	1099205.85	1690766.14	608019.4	1054321.735	1709342.9	1294354.7	1288013.4	1709342.9	116434.1	1248590.962	1891902	1775530.2	1569978.8	1657384.53	1666505.67	1569978.8	1637921.36	6.71E+05	1688745.855	85320.16	1688745.855	1110523.112	1403703	333639.4	1152703.253	1340740.06	235186.837	1110523.112	1106993.913	1338824.34	1114459.16	1644245.62	1055504.228	1055052.215	234995.028	1609228.7	1064891.19	1107002.54	1688988.373	1065466.72	1065466.72	2052247.4	1690766.14	583055.2	583055.2	202358.07	1666505.67	1436614.87	1156031.454	1520037.3	970386.6	206924.32	1508749.9	1286358.6
B55279	923218.4	464825.2	1153766.5	1153766.5	1586204.1	2134527.568	1320974.64	2134527.568	1875051.08	1330076.745	923218.4	2132976.215	2132181.113	2134527.568	2134527.568	2134527.568	2134527.568	1.23E+06	1.23E+06	1.23E+06	1.23E+06	1232663.88	1394815.52	1395598.95	1333742.66	1384179.75	1498499.53	2071709.94	2066604.38	2424972.9	1395598.95	979769.79	982018.95	1035303.14	1045221.86	1055504.23	0	1291227.56	171945.87	2649192.9	920587.5	1583208.2	1975721.9	1009497.84	979769.79	2132181.113	9886.891	1005010.6	1009497.84	1855740.04	2440300.5	2134527.568	1884350.97	1333804.423	1818491.2	1154387.41	1610855.8	2206484.2	2649192.9	1813394.01	1442787.22	976915.4	2211.093	2305626.3	2014321.5	317276.5	2305626.3	1171799.4	2134527.568	2640987.6	1557658.2	1839459.4	1154387.41	1423478.84	1839459.4	1156391.45	1.23E+06	976210.456	1044481.5	976210.456	55172.28	2155340.1	839848.3	288066.158	359311.68	1249369.547	55172.28	51497.336	357725.68	59266.32	982018.95	0	9886.891	1248195.664	2222670.1	10709.17	171945.87	977221.452	161515.64	161515.64	2327952.4	1442787.22	1305153.8	1305153.8	1009532.37	1423478.84	1511075.96	295540.129	464825.2	880594.1	1184223.6	868919.2	945056.8
ABTC119649	1428038.9	1752102.1	1783907.1	1783907.1	1612692.8	924492.64	658065.13	924492.64	691593.06	44672.812	1428038.9	923920.1123	923195.5344	924492.64	924492.64	924492.64	924492.64	4.81E+05	4.81E+05	4.81E+05	4.81E+05	105661.56	721847.04	763097.18	686307.85	687268.26	1792300.84	806872.56	807442.64	1277144.4	763097.18	543349.54	1706601.8	398272.98	341410.85	325937.28	1291227.563	0	1308224.84	1804213.1	1830139.3	1673559.1	762682.3	544537.74	543349.54	923195.5344	1292681.18	1577118.3	544537.74	716606.85	1583754.2	924492.64	814626.67	51255.97	784173.04	1669103.57	334542.5	1712357	1804213.1	790356.84	1620450.48	553945.6	1290427.658	1405973.9	978873	1555470.9	1405973.9	271016	924492.64	1567667.4	1688983	1352177	1669103.57	1596796.8	1352177	1644778.53	4.81E+05	1763379.363	401563.91	1763379.363	1346033.47	1082383.4	658357.1	1329621.2	1529460.52	106403.247	1346033.47	1341954.486	1527569.03	1350270.281	1706601.8	1291227.563	1292681.18	105393.433	1304936.9	1301429.02	1308224.84	1763358.257	1267621.76	1267621.76	1809468.3	1620450.48	335946.2	335946.2	519060.44	1596796.8	1739808.19	1331385.967	1752102.1	1296162.9	122424.33	1576941.5	1611965.4
B55371	1093210.9	464847.5	1324937	1324937	1748429.9	2107296.827	1251026.09	2107296.827	1847106.08	1343861.89	1093210.9	2105522.2	2104722.545	2107296.827	2107296.827	2107296.827	2107296.827	1.19E+06	1.19E+06	1.19E+06	1.19E+06	1262012.69	1319492.13	1315196.11	1260586.28	1312747.86	1668926.38	2062646.35	2055334.88	2378847	1315196.11	1063534.83	810778.09	1098358.82	1098603.73	1107002.54	171945.872	1308224.84	0	2551644.1	759916.1	1424113.7	1952152.7	1094771.28	1063534.83	2104722.545	181685.528	1176871.1	1094771.28	1819755.68	2347603.3	2107296.827	1835702.3	1346715.584	1766581.9	983439.26	1613774	2078911.4	2551644.1	1759985.4	1281477.52	927355.4	174034.049	2221166.3	1956439.3	439664.6	2221166.3	1222897	2107296.827	2577426.1	1396678.4	1720346	983439.26	1262851.96	1720346	986095.36	1.19E+06	807144.439	1108827.66	807144.439	172465.261	2100070.6	934507.3	116136.018	236999.94	1279794.816	172465.261	168873.522	235113.8	174879.935	810778.09	171945.872	181685.528	1278423.643	2142440	175173.08	0	808119.586	41536.51	41536.51	2200412.4	1281477.52	1277295.6	1277295.6	1090916.73	1262851.96	1680018.4	123609.854	464847.5	1045926.3	1210400.77	696973.4	1116786.6
B52751	3165720.1	2986309.5	3519119.1	3519119.1	3415866.8	1120276.274	1356761.81	1120276.274	1197745.44	1766786.109	3165720.1	1117980.679	1118106.336	1120276.274	1120276.274	1120276.274	1120276.274	1.50E+06	1.50E+06	1.50E+06	1.50E+06	1908806.5	1274729.69	1264534.08	1337571.83	1293744.38	3589602.18	1344873.91	1319973.13	828692.1	1264534.08	2326272.38	2288737.69	2182920.2	2119807.85	2105460.98	2649192.931	1804213.14	2551644.07	0	2526432.7	1561171.2	1204436.7	2334612.27	2326272.38	1118106.336	2656337.358	3312136.9	2334612.27	1132104.32	222368.5	1120276.274	1005273.64	1759256.714	1022421.19	2058441.32	1578278.1	704640	0	1014887.87	1671065.97	1719283.3	2649829.358	398551.7	843316.8	2966448.5	398551.7	2074535.6	1120276.274	567876.2	1612546.5	889135.5	2058441.32	1666980.16	889135.5	2026824.98	1.50E+06	2370817.496	2189502.31	2370817.496	2688669.877	789964	2405658.9	2487953.639	2659171.86	1910561.023	2688669.877	2683858	2657958.41	2692788.027	2288737.69	2649192.931	2656337.358	1909591.276	499843.6	2659247.36	2551644.07	2369717.869	2527700.77	2527700.77	644004.6	1671065.97	1530147	1530147	2307769.25	1666980.16	3540863.34	2484028.074	2986309.5	3040123.5	1905713.4	2243954.4	3322713.9
