	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC129	ANWC131	ANWC130	SAM35	ANWC118	ANWC94	ANWC133	ANWC136	SAM31	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC104	ANWC168	ANWC117	ANWC101	ANWC75	ANWC106	ANWC108	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC66	ANWC116	ANWC139	SAM19	ANWC128	ANWC109	ANWC77	SAM34	SAM37	ANWC71	ANWC170	ANWC72	ANWC73	ANWC134	ANWC81	ANWC78	SAM38	ANWC80
SAM27	-0.070817731	-0.069955756	0.071719693	-0.022280834	0.065309295	0.013952637	-0.056056074	0.078009784	0.066892183	0.07741614	1.123798728	0.078482783	0.076822962	-2.90E-02	-0.025641997	-0.058526571	-2.48E-02	-2.31E-02	-2.07E-02	-0.021757153	-0.078518741	-0.022175172	-0.054933377	-0.062215154	-6.09E-02	-0.070701848	-0.055594	0.029397105	0.032485102	-0.069553658	-6.70E-02	0.087141333	0.03263233	-0.060440233	0.012016871	0.03237681	0.073241225	0.019061457	-0.053475705	0.011261616	-0.036478676	4.79E-03	0.029300186	0.01070933	-0.029904991	0.041875748	0.021310444	0.035978618	-0.059102797	6.56E-02	0.039273967	0.020974107	-0.012846968	0.022594878	-0.031083111	0.066563858	-0.062081076	0.030621533	-5.80E-02	-0.060185532	-0.059894378	-0.06935426	-0.001090639	-0.039861078	-0.040425889	-0.062172465	-0.079278259	0.03767825	-0.057509397	-0.068132044
SAM26	-0.079489841	-0.074225756	0.072408852	-0.026789104	0.088504004	0.01310582	-0.059783504	0.122731529	0.071107833	0.078807926	0.078482783	1.157781005	0.087086849	-3.37E-02	-0.031040221	-0.063218472	-2.88E-02	-2.61E-02	-2.57E-02	-0.026034159	-0.087667596	-0.027641046	-0.060060308	-0.068503481	-6.73E-02	-0.079259105	-0.062713	0.028530931	0.032643751	-0.076664799	-7.47E-02	0.093992687	0.030724964	-0.067221581	0.012656333	0.033527092	0.099320744	0.016988112	-0.060867192	0.006759395	-0.041138986	1.36E-03	0.028575172	0.008180451	-0.035043463	0.042938189	0.018556496	0.033013224	-0.063281973	7.09E-02	0.039583431	0.017383392	-0.01641262	0.019860943	-0.0352561	0.069061794	-0.065845992	0.029740401	-6.34E-02	-0.067611622	-0.065753898	-0.074167857	-0.004766346	-0.045945129	-0.045636028	-0.067341534	-0.086175617	0.034561201	-0.062700548	-0.074260572
SAM25	-0.084341633	-0.077570465	0.109715569	-0.030274513	0.092833872	0.008202393	-0.064132223	0.097058573	0.073301544	0.076275104	0.076822962	0.087086849	1.145725131	-3.59E-02	-0.033097325	-0.064561475	-3.29E-02	-3.05E-02	-2.80E-02	-0.030690883	-0.091551584	-0.03088063	-0.061544929	-0.070853457	-7.08E-02	-0.081919508	-0.066333799	0.025667249	0.029409317	-0.079145656	-7.91E-02	0.249645057	0.028097439	-0.069906929	0.006141319	0.028490657	0.074510144	0.015533712	-0.065544391	0.003757196	-0.045227003	-2.87E-03	0.02556696	0.003115803	-0.037643826	0.035814621	0.015301812	0.024544313	-0.064269235	6.51E-02	0.0359646	0.012310261	-0.019330606	0.015340655	-0.03744889	0.060135146	-0.068000485	0.026027227	-6.67E-02	-0.071578306	-0.071239914	-0.074973252	-0.006346208	-0.048868212	-0.047873885	-0.068941756	-0.086930429	0.026792157	-0.065687082	-0.077509998
SAM18	0.005347726	-0.004578072	-0.030057044	0.001329342	-0.034058254	-0.012204457	-0.001499008	-0.033576543	-0.029846763	-0.032039871	-0.029006911	-0.033674344	-0.035940293	1.06E+00	0.006948845	-0.002962132	1.54E-03	9.34E-05	-2.05E-03	-0.000161634	0.004292435	-0.000794453	-0.001422204	0.000161006	2.40E-03	0.00071387	0.003813861	-0.020985099	-0.020357544	0.000445616	1.53E-03	-0.035421169	-0.020889081	0.000392021	-0.014157534	-0.019382958	-0.032033581	-0.015461911	0.002907815	-0.014388443	-0.000766063	-1.89E-02	-0.021325793	-0.01344696	-0.000406815	-0.025999161	-0.016851488	-0.026419801	-0.00162516	-3.15E-02	-0.021754147	-0.021824096	-0.006218413	-0.022292852	-0.004512381	-0.033739464	-0.00077113	-0.020132424	5.31E-04	0.005319264	0.002769132	-0.003125998	-0.015922147	0.000629681	0.000755856	0.000492864	-0.002519263	-0.026963407	-0.003573713	0.000481056
SAM17	0.005468026	-0.002868367	-0.026151631	-0.001369742	-0.031395503	-0.010947625	-0.00221222	-0.030173396	-0.027830551	-0.028446892	-0.025641997	-0.031040221	-0.033097325	6.95E-03	1.058115482	-0.002726347	1.36E-03	-1.70E-03	-1.21E-03	-0.001038609	0.003384243	-0.001509827	-0.000464762	0.001236448	1.89E-03	0.002747772	0.002405819	-0.018880918	-0.016382877	0.001995002	1.47E-03	-0.033107981	-0.018885645	0.001957248	-0.012904003	-0.018811322	-0.02872468	-0.013988633	0.003516986	-0.012395212	-0.000431837	-1.72E-02	-0.020262089	-0.011916865	-0.000111271	-0.025152852	-0.016284975	-0.026109247	-0.000895822	-2.87E-02	-0.021671939	-0.020600375	-0.006598511	-0.020563142	-0.006212261	-0.029756511	0.001388921	-0.019648822	1.17E-03	0.003812511	0.001579774	-0.002604236	-0.01349895	-0.000212944	-0.000294514	-0.000682961	-0.003037145	-0.024295589	-0.001206944	0.000455224
SAM33	0.03199794	0.016757204	-0.057670981	-0.004446846	-0.057121761	-0.025958226	0.010299725	-0.067420224	-0.057496994	-0.057665129	-0.058526571	-0.063218472	-0.064561475	-2.96E-03	-0.002726347	1.093476415	-3.64E-03	-7.03E-03	-4.90E-03	-0.003007264	0.033907334	-0.007588595	0.015585565	0.018734177	2.19E-02	0.021358492	0.024068161	-0.040193291	-0.041170094	0.018429655	2.00E-02	-0.065110073	-0.0395327	0.020096423	-0.029904786	-0.039881629	-0.060662439	-0.031103926	0.023575168	-0.028751263	0.005770141	-3.07E-02	-0.038545897	-0.026325252	0.000233219	-0.051411896	-0.03597102	-0.048812606	0.01891416	-5.67E-02	-0.044324861	-0.040953859	-0.012216539	-0.040493284	-0.006047822	-0.061656897	0.013057594	-0.041122869	1.62E-02	0.02955464	0.025952312	0.015857568	-0.024862573	0.003379615	0.005301275	0.019367078	0.022753956	-0.051194614	0.017930121	0.021571162
SAM16	0.003425123	-0.00559478	-0.025353366	0.001002122	-0.030552198	-0.010469645	-0.00402952	-0.030383905	-0.027428213	-0.028898585	-0.024789143	-0.028788308	-0.032915733	1.54E-03	0.00136398	-0.00364134	1.06E+00	5.04E-03	-1.38E-03	0.001005654	-0.000420745	0.001787059	-0.002878256	-0.001864181	1.03E-03	-0.000176899	0.002324121	-0.018436426	-0.017370046	-0.002498075	-4.51E-05	-0.033466925	-0.017950287	-0.001996614	-0.013389625	-0.018987964	-0.028243944	-0.015168597	0.001964891	-0.014364646	-0.000775476	-1.60E-02	-0.019681859	-0.01189909	-0.000158535	-0.024771645	-0.016089297	-0.025491916	-0.004561662	-2.68E-02	-0.021119358	-0.020791937	-0.007518113	-0.021212381	-0.004470044	-0.030578961	-0.002117142	-0.018527119	-5.30E-05	0.00217212	0.000456652	-0.003610306	-0.014545443	-0.004416287	-0.000909074	-0.003894493	-0.005309588	-0.025784004	-0.003779021	-0.002009379
SAM14	0.000960356	-0.007404812	-0.024543064	0.003896536	-0.027894985	-0.010648809	-0.004788047	-0.026827409	-0.025391859	-0.027040871	-0.023143084	-0.026068189	-0.030468493	9.34E-05	-0.001702729	-0.007027306	5.04E-03	1.06E+00	-4.89E-04	0.001006141	-0.00142783	0.000769651	-0.002757352	-0.003023401	-4.70E-04	-0.002524812	-0.001153111	-0.018991935	-0.0175422	-0.003806914	-2.30E-03	-0.030335763	-0.01793202	-0.002402786	-0.012104065	-0.016641264	-0.024825782	-0.01370939	0.000637581	-0.011246325	-0.003186641	-1.61E-02	-0.019083556	-0.01162998	-0.000813452	-0.022457337	-0.015522486	-0.022570382	-0.004913623	-2.63E-02	-0.018663906	-0.021713065	-0.006619046	-0.020965377	-0.005840413	-0.027071413	-0.004510601	-0.017301889	-3.79E-03	0.000270635	-0.00120936	-0.007836024	-0.015342337	-0.002514877	-0.002811897	-0.004103915	-0.00773472	-0.021459066	-0.004792972	-0.003688335
SAM12	0.002163414	-0.004403495	-0.021613821	0.00086521	-0.025612036	-0.008033639	-0.002881274	-0.025214052	-0.022194908	-0.0245116	-0.020658835	-0.025684379	-0.027989673	-2.05E-03	-0.001207817	-0.004903446	-1.38E-03	-4.89E-04	1.05E+00	0.001174938	-0.000421678	-0.001895312	-0.003825783	-0.001252954	7.98E-05	-0.00030111	0.001495865	-0.016097858	-0.014544691	-0.001488445	-5.86E-04	-0.027595632	-0.014283326	-0.000586369	-0.010500287	-0.015677209	-0.022141612	-0.012324156	0.001609936	-0.010794752	-0.002385426	-1.55E-02	-0.015551243	-0.01105912	-0.000284196	-0.019601792	-0.013094003	-0.021196847	-0.003483597	-2.38E-02	-0.016759747	-0.017477244	-0.005296413	-0.016948878	-0.005125579	-0.025060364	-0.003308855	-0.014683258	-4.85E-04	0.002420932	4.46235E-05	-0.00497544	-0.012285815	-0.001949084	-0.002928555	-0.004067944	-0.005637078	-0.021176775	-0.006274193	-0.001709491
SAM11	0.002745961	-0.004693539	-0.02289881	0.000241158	-0.02641415	-0.010289036	-0.000868723	-0.025574123	-0.02300308	-0.024849975	-0.021757153	-0.026034159	-0.030690883	-1.62E-04	-0.001038609	-0.003007264	1.01E-03	1.01E-03	1.17E-03	1.061076641	0.00205345	-0.001063727	-0.002876744	-0.00114052	1.27E-03	0.000595044	0.001614195	-0.016922336	-0.015732232	-0.000909872	4.62E-04	-0.030097182	-0.016032655	-0.000686433	-0.011398411	-0.015865612	-0.024564197	-0.013636218	0.001869785	-0.011112875	-0.0022212	-1.45E-02	-0.018512329	-0.01137842	-0.000254486	-0.021814128	-0.014318517	-0.022812139	-0.004104074	-2.49E-02	-0.018508235	-0.018962109	-0.006556301	-0.019615849	-0.004838855	-0.024156254	-0.002480862	-0.0162784	-2.63E-04	0.001465674	0.002322943	-0.004934777	-0.012596119	-0.001514157	-0.000577309	-0.002318363	-0.004429797	-0.022115228	-0.002435121	-0.000774837
