SAMPLE.ID,YearJD,RainSum
ANWC109,1981,0.00703267
ANWC109,1980,0.006553476
ANWC109,1979,0.006249709
ANWC109,1978,0.011723926
ANWC109,1977,0.000564409
ANWC110,1997,0.011728616
ANWC110,1996,0.014140084
ANWC110,1995,0.016356353
ANWC110,1994,0.015200435
ANWC110,1993,0.019521084
ANWC110,1992,0.01932787
ANWC110,1991,0.012317958
ANWC110,1989,0.015962281
ANWC110,1988,0.019975143
ANWC110,1987,0.013822037
ANWC110,1986,0.013115119
ANWC110,1985,0.018458396
ANWC110,1984,0.011672437
ANWC110,1983,0.027048796
ANWC110,1982,0.006709656
ANWC110,1981,0.013867744
ANWC110,1980,0.01174532
ANWC110,1979,0.010139624
ANWC110,1978,0.003967742
ANWC112,2003,0.024771083
ANWC112,2002,0.01794511
ANWC112,2001,0.020848007
ANWC112,2000,0.037205078
ANWC112,1999,0.030080686
ANWC112,1998,0.028497222
ANWC112,1997,0.020813653
ANWC112,1996,0.040042756
ANWC112,1995,0.017154704
ANWC112,1994,0.020268392
ANWC112,1993,0.022571563
ANWC112,1992,0.008400387
ANWC112,1991,0.014105249
ANWC112,1989,0.021595468
ANWC112,1988,0.013073569
ANWC112,1987,0.018234435
ANWC112,1986,0.011017259
ANWC112,1985,0.023285946
ANWC112,1984,0.005998494
ANWC113,2008,0.041985842
ANWC113,2007,0.026786888
ANWC113,2006,0.036390065
ANWC113,2005,0.020047419
ANWC113,2004,0.032919294
ANWC113,2003,0.033942526
ANWC113,2002,0.031382741
ANWC113,2001,0.032722087
ANWC113,2000,0.039705413
ANWC113,1999,0.032636837
ANWC113,1998,0.030555285
ANWC113,1997,0.027279034
ANWC113,1996,0.019535939
ANWC113,1995,0.018459598
ANWC113,1994,0.020490831
ANWC113,1993,0.023456931
ANWC113,1992,0.030591672
ANWC113,1991,0.018861765
ANWC113,1989,0.009618926
ANWC115,2008,0.018760343
ANWC115,2007,0.010693551
ANWC115,2006,0.011827851
ANWC115,2005,0.009954904
ANWC115,2004,0.014341111
ANWC115,2003,0.008185914
ANWC115,2002,0.011064537
ANWC115,2001,0.005025374
ANWC115,2000,0.011778909
ANWC115,1999,0.004869785
ANWC115,1998,0.019598315
ANWC115,1997,0.006804577
ANWC115,1996,0.013479318
ANWC115,1995,0.002874592
ANWC115,1994,0.005037888
ANWC115,1993,0.005642441
ANWC115,1992,0.019394093
ANWC115,1991,0.009928852
ANWC115,1989,0.005074194
ANWC116,2008,0.015995827
ANWC116,2007,0.013458067
ANWC116,2006,0.010985915
ANWC116,2005,0.01079684
ANWC116,2004,0.011021756
ANWC116,2003,0.010666559
ANWC116,2002,0.011522602
ANWC116,2001,0.005160858
ANWC116,2000,0.010688586
ANWC116,1999,0.006205269
ANWC116,1998,0.008701539
ANWC116,1997,0.017665853
ANWC116,1996,0.01318256
ANWC116,1995,0.00320685
ANWC116,1994,0.004154017
ANWC116,1993,0.006526312
ANWC116,1992,0.018536028
ANWC116,1991,0.010786917
ANWC116,1989,0.000945162
ANWC117,2008,0.023514055
ANWC117,2007,0.025428173
ANWC117,2006,0.021272685
ANWC117,2005,0.016802185
ANWC117,2004,0.02047785
ANWC117,2003,0.014197635
ANWC117,2002,0.020071469
ANWC117,2001,0.017639327
ANWC117,2000,0.022935879
ANWC117,1999,0.018603873
ANWC117,1998,0.020406879
ANWC117,1997,0.017100679
ANWC117,1996,0.017064839
ANWC117,1995,0.013310711
ANWC117,1994,0.012673231
ANWC117,1993,0.01942925
ANWC117,1992,0.02779781
ANWC117,1991,0.012965773
ANWC117,1989,0.003248388
ANWC118,2008,0.021733411
ANWC118,2007,0.026286237
ANWC118,2006,0.019433975
ANWC118,2005,0.019844121
ANWC118,2004,0.019648817
ANWC118,2003,0.013346022
ANWC118,2002,0.019235985
ANWC118,2001,0.019787715
ANWC118,2000,0.02201975
ANWC118,1999,0.019378066
ANWC118,1998,0.015335911
ANWC118,1997,0.021474873
ANWC118,1996,0.017922904
ANWC118,1995,0.013736559
ANWC118,1994,0.012528028
ANWC118,1993,0.015816346
ANWC118,1992,0.026313939
ANWC118,1991,0.017910935
ANWC118,1989,0.002654839
ANWC119,2014,0.044218986
ANWC119,2013,0.052418022
ANWC119,2012,0.043694361
ANWC119,2011,0.062710026
ANWC119,2010,0.052963229
ANWC119,2009,0.043801421
ANWC119,2008,0.049872179
ANWC119,2007,0.056238959
ANWC119,2006,0.049405332
ANWC119,2005,0.037892018
ANWC119,2004,0.046220266
ANWC119,2003,0.052251919
ANWC119,2002,0.043418722
ANWC119,2001,0.04387138
ANWC119,2000,0.064939278
ANWC119,1999,0.051678601
ANWC119,1998,0.045594313
ANWC119,1997,0.054205693
ANWC119,1996,0.044019695
ANWC119,1995,0.021975377
ANWC126,2007,0.004198986
ANWC126,2006,0.004478543
ANWC126,2005,0.00600143
ANWC126,2004,0.006498422
ANWC126,2003,0.004292044
ANWC126,2002,0.004275898
ANWC126,2001,0.007302703
ANWC126,2000,0.005601632
ANWC126,1999,0.007617171
ANWC126,1998,0.005337635
ANWC126,1997,0.003991329
ANWC126,1996,0.003838534
ANWC126,1995,0.006528764
ANWC126,1994,0.005021375
ANWC126,1993,0.004972416
ANWC126,1992,0.007398908
ANWC126,1991,0.00293204
ANWC126,1989,0.003580537
ANWC126,1988,0.002873923
ANWC128,2007,0.005520423
ANWC128,2006,0.007318103
ANWC128,2005,0.00677687
ANWC128,2004,0.00706879
ANWC128,2003,0.006401052
ANWC128,2002,0.005126965
ANWC128,2001,0.010613811
ANWC128,2000,0.00841891
ANWC128,1999,0.009262839
ANWC128,1998,0.007149411
ANWC128,1997,0.005078371
ANWC128,1996,0.005280585
ANWC128,1995,0.008368368
ANWC128,1994,0.006004008
ANWC128,1993,0.005584131
ANWC128,1992,0.009324784
ANWC128,1991,0.003411629
ANWC128,1989,0.004999612
ANWC128,1988,0.003029601
ANWC129,2007,0.005706364
ANWC129,2006,0.007593931
ANWC129,2005,0.006864671
ANWC129,2004,0.007132543
ANWC129,2003,0.006573361
ANWC129,2002,0.005201637
ANWC129,2001,0.010924426
ANWC129,2000,0.008508364
ANWC129,1999,0.009320355
ANWC129,1998,0.007300642
ANWC129,1997,0.005071929
ANWC129,1996,0.005272664
ANWC129,1995,0.008320425
ANWC129,1994,0.005952813
ANWC129,1993,0.005627574
ANWC129,1992,0.009371991
ANWC129,1991,0.003459135
ANWC129,1989,0.005200983
ANWC129,1988,0.003075729
ANWC130,2007,0.005311294
ANWC130,2006,0.006904646
ANWC130,2005,0.006860235
ANWC130,2004,0.007283074
ANWC130,2003,0.006175854
ANWC130,2002,0.005063979
ANWC130,2001,0.010337235
ANWC130,2000,0.007885173
ANWC130,1999,0.008918831
ANWC130,1998,0.006906336
ANWC130,1997,0.004916699
ANWC130,1996,0.004548427
ANWC130,1995,0.007355012
ANWC130,1994,0.005769608
ANWC130,1993,0.005558558
