SAMPLE.ID,YearJJ,Tmean
SAM31,1987,16.63893
SAM20,1984,16.6445171
SAM21,1984,16.6445171
ANWC110,1987,16.65527185
ANWC110,1988,16.65775188
ANWC90,1987,16.66102259
ANWC102,1996,16.6651448
SAM28,1992,16.67439477
ANWC88,1976,16.68391379
SAM20,1992,16.68407734
SAM21,1992,16.68407734
ANWC110,1981,16.68611304
ANWC88,1991,16.69105426
SAM25,1993,16.69582232
SAM26,1993,16.69582232
SAM27,1993,16.69582232
SAM32,1993,16.69582232
ANWC90,1993,16.69921128
ANWC90,1989,16.70105656
SAM25,1999,16.70786349
SAM26,1999,16.70786349
SAM27,1999,16.70786349
SAM32,1999,16.70786349
SAM31,1999,16.73039405
SAM29,1996,16.73452226
SAM30,1996,16.73452226
ANWC92,1980,16.73875602
SAM31,1993,16.74147566
ANWC90,1991,16.74252431
ANWC88,1993,16.74834188
SAM29,1993,16.75561277
SAM30,1993,16.75561277
ANWC110,1982,16.75830623
ANWC103,1992,16.77675923
SAM29,1998,16.78692699
SAM30,1998,16.78692699
ANWC88,1985,16.80543947
SAM25,1994,16.82378197
SAM26,1994,16.82378197
SAM27,1994,16.82378197
SAM32,1994,16.82378197
ANWC103,1985,16.83204834
SAM29,1999,16.85237646
SAM30,1999,16.85237646
ANWC90,1975,16.86464222
ANWC110,1990,16.870001
ANWC101,1996,16.87044323
SAM31,1994,16.87554073
ANWC104,1986,16.87858001
ANWC90,1982,16.88096301
SAM20,1997,16.90868534
SAM21,1997,16.90868534
ANWC90,1981,16.91020839
SAM20,1985,16.91297786
SAM21,1985,16.91297786
SAM32,2004,16.91586216
ANWC88,1989,16.91851505
SAM29,1994,16.93060032
SAM30,1994,16.93060032
SAM31,2004,16.95510674
SAM25,2002,16.95786945
SAM26,2002,16.95786945
SAM27,2002,16.95786945
SAM32,2002,16.95786945
ANWC104,1987,16.96047036
ANWC103,1989,16.96966728
ANWC88,1977,16.98485216
ANWC104,1978,16.98625477
ANWC88,1987,16.98964286
ANWC88,1978,16.99223153
ANWC88,1979,16.99809082
SAM31,2002,17.00071653
ANWC103,1986,17.00085044
ANWC88,1983,17.01475207
ANWC104,1992,17.02541828
SAM20,1979,17.03092869
SAM21,1979,17.03092869
SAM25,1990,17.03451546
SAM26,1990,17.03451546
SAM27,1990,17.03451546
SAM32,1990,17.03451546
ANWC104,1985,17.04799668
ANWC104,1984,17.05145224
SAM20,1978,17.05576754
SAM21,1978,17.05576754
SAM25,1988,17.0621504
SAM26,1988,17.0621504
SAM27,1988,17.0621504
SAM32,1988,17.0621504
ANWC90,1990,17.0730292
SAM31,1990,17.07386637
ANWC103,1995,17.08688585
SAM31,1988,17.09886694
SAM20,1989,17.10179257
SAM21,1989,17.10179257
ANWC110,1997,17.10809143
ANWC90,1988,17.11163871
SAM20,1987,17.11685324
SAM21,1987,17.11685324
ANWC104,1995,17.12799517
ANWC103,1984,17.12869485
ANWC88,1982,17.14885871
ANWC104,1979,17.1590759
SAM20,1995,17.16331092
SAM21,1995,17.16331092
ANWC104,1989,17.17322953
SAM29,2002,17.18970442
SAM30,2002,17.18970442
ANWC88,1988,17.20649068
SAM28,2004,17.21615306
SAM29,1990,17.21776517
SAM30,1990,17.21776517
ANWC104,1983,17.23503494
SAM46,1992,17.23609273
ANWC103,1979,17.24175199
SAM29,1988,17.24337133
SAM30,1988,17.24337133
ANWC94,1986,17.2439057
ANWC88,1990,17.26873946
SAM20,1983,17.27404157
SAM21,1983,17.27404157
ANWC104,1977,17.29397305
ANWC103,1978,17.30990839
ANWC104,1991,17.32126236
ANWC94,1992,17.33183638
ANWC110,1980,17.33667048
ANWC94,1985,17.33931621
ANWC104,1993,17.34284647
ANWC88,1975,17.34400423
ANWC94,1976,17.34440494
ANWC94,1984,17.34565242
SAM28,1996,17.34924722
ANWC88,1981,17.35804558
SAM20,1981,17.39432287
SAM21,1981,17.39432287
SAM20,1996,17.41650136
SAM21,1996,17.41650136
SAM20,1982,17.41688498
SAM21,1982,17.41688498
ANWC104,1994,17.41786051
ANWC90,1980,17.42536616
ANWC104,1988,17.44044701
SAM20,1993,17.44593581
