	A37114	A36182	A35583	A35582	A35183	ABTC114050	ABTC37891	ABTC114048	ABTC143564	ABTC119685	A37115	ABTC113311	ABTC113310	ABTC113234	ABTC113233	ABTC113232	ABTC113231	ABTC85134	ABTC85133	ABTC73792	ABTC73791	ABTC119496	ABTC38831	ABTC38801	ABTC37976	ABTC37966	A35745	B46574	B46525	B46415	ABTC38802	B54287	B54701	B54119	B54149	B54133	B55279	ABTC119649	B55371	B52751	B53877	B41644	B46630	B54257	B54288	ABTC113312	B55292	B33180	B54256	B48315	B49330	ABTC113313	B48221	ABTC119904	B48236	B54436	B48426	B55501	B52750	B48235	B29378	B32845	B55281	B49357	B49438	B50538	B49358	B54028	ABTC114049	B49626	B41656	B52745	B54435	B29336	B52746	B54458	ABTC84315	B54738	B54114	B54739	B55220	B49452	B32899	B55412	B55160	ABTC119512	B55221	B55255	B55126	B55256	B52435	B55280	B55291	ABTC119786	B32011	B55308	B55370	B54740	B55399	B55400	B55503	B29377.b	B32773	B32774	B54278	B29337.a	B33369	B55435	A36181	B33013	ABTC119851	B54778	B33205	
A37115	0.314893712	0.021449052	0.035566153	0.038975159	0.041306272	-0.056942521	-1.23E-02	-0.055333841	-0.030761986	7.58E-03	1.08E+00	-0.064309138	-0.054878584	-0.056606373	-0.058238684	-0.059820898	-0.058844235	-0.004111789	3.33E-04	-0.009877558	-0.010410608	8.60E-03	-0.01392908	-0.012788965	-0.012104686	-0.014134803	4.39E-02	-0.050835014	-0.049647691	0.029995188	-1.48E-02	0.009710678	-9.14E-03	0.018711276	1.90E-02	1.85E-02	-0.002196237	1.27E-02	0.000828617	-0.040776606	-0.000987747	-0.023172448	-0.043759095	0.019243792	0.020446545	-0.059033751	3.21E-03	-0.04322553	0.018433817	-3.52E-02	-0.041410333	-0.059689375	-0.038092237	0.01391705	-0.0335224	-8.33E-03	-3.90E-04	-0.028144331	-0.041667693	-0.032312379	-0.020892622	-6.46E-03	-1.33E-03	-0.049839194	-0.039981177	-0.002441531	-0.046690731	0.012247779	-0.054542612	-0.045731143	-0.023602176	-0.042304694	-7.71E-03	-0.025590478	-0.041670481	-0.014858542	-0.059346019	-7.49E-03	1.31E-02	-1.79E-03	0.002026201	-0.042915141	1.51E-02	-6.15E-03	0.006087241	0.016219714	-1.55E-03	0.00153372	9.85E-03	7.03E-05	-5.07E-03	2.54E-03	1.29E-03	0.016060451	5.27E-02	0.003541413	-0.00089015	-0.000948293	-0.001265754	-0.001670485	-0.024631923	-2.18E-02	0.000506743	-1.36E-03	2.03E-02	-0.027684372	0.042563713	-0.008198814	0.02036031	-0.046729406	1.07E-02	-8.59E-03	0.035550437	
ABTC113311	-0.069009454	-0.086863953	-0.05800042	-0.057064096	-0.064206311	0.102941448	-6.33E-03	0.096340108	0.038797953	-3.62E-02	-6.43E-02	1.27310288	0.09814234	0.105033219	0.099587408	0.144427948	0.118065083	-0.012945872	-1.32E-02	-0.012762564	-0.008205039	-4.35E-02	-0.009389784	-0.00601408	-0.00340195	-0.004059074	-6.41E-02	0.074893393	0.071147438	-0.054078107	-7.20E-03	-0.041955911	-3.87E-02	-0.048105384	-4.66E-02	-5.01E-02	-0.039148608	-3.95E-02	-0.045970762	0.055916025	-0.03960502	0.010300595	0.062198127	-0.052476516	-0.050483694	0.120836314	-4.86E-02	0.060751085	-0.047963328	4.01E-02	0.060666065	0.107452815	0.045651729	-0.035955861	0.037580785	-3.29E-02	-1.99E-02	0.024718953	0.055539267	0.033347107	0.006157679	-1.47E-02	-4.63E-02	0.071639322	0.046934994	-0.040719313	0.063390569	-0.042886419	0.112922936	0.067645783	0.00464567	0.047812475	-3.55E-02	0.006096658	0.050230358	-0.023775194	0.101542357	-3.83E-02	-4.69E-02	-4.08E-02	-0.064403647	0.058806138	-4.43E-02	-3.47E-02	-0.066865171	-0.043986164	-5.97E-02	-0.051875351	-6.75E-02	-5.25E-02	-3.66E-02	-4.55E-02	-5.14E-02	-0.042870118	-5.71E-02	-0.052213905	-0.046531931	-0.037151994	-0.036592433	-0.038520913	0.019434294	7.49E-03	-0.023300676	-2.54E-02	-4.87E-02	-0.001541895	-0.062576646	-0.041844193	-0.086800891	0.068230228	-4.19E-02	-3.67E-02	-0.055513281	
ABTC113310	-0.058998507	-0.075983292	-0.052111162	-0.050205332	-0.057186571	0.085949243	-6.47E-03	0.086627338	0.031212346	-3.30E-02	-5.49E-02	0.09814234	1.193431497	0.088303871	0.090117903	0.0953788	0.097830532	-0.011878184	-1.33E-02	-0.01203146	-0.008953345	-3.81E-02	-0.009252451	-0.007240007	-0.003332515	-0.004992336	-5.67E-02	0.063493485	0.062008543	-0.049122087	-7.91E-03	-0.037732391	-3.48E-02	-0.040686805	-4.06E-02	-4.56E-02	-0.033889751	-3.50E-02	-0.041467231	0.046572235	-0.035259259	0.007318155	0.054104924	-0.045717653	-0.044886337	0.090637752	-4.37E-02	0.051939325	-0.042487787	3.29E-02	0.051478067	0.111475036	0.03912199	-0.03261084	0.0332734	-3.02E-02	-1.77E-02	0.020208311	0.048105462	0.029475674	0.004221057	-1.33E-02	-4.22E-02	0.061332509	0.039040444	-0.036609464	0.052040541	-0.03734245	0.09158776	0.057448543	0.001921353	0.039531976	-3.24E-02	0.002770855	0.042500888	-0.02218378	0.089232517	-3.30E-02	-4.05E-02	-3.69E-02	-0.057114912	0.050618745	-3.89E-02	-3.29E-02	-0.058297549	-0.038851489	-5.27E-02	-0.04562673	-5.94E-02	-4.68E-02	-3.26E-02	-4.02E-02	-4.48E-02	-0.039329193	-4.98E-02	-0.0469256	-0.041634229	-0.03345942	-0.032050512	-0.034865543	0.01452568	3.24E-03	-0.020968516	-2.27E-02	-4.33E-02	-0.004218355	-0.055283475	-0.039348306	-0.075461267	0.057802793	-3.72E-02	-3.39E-02	-0.049308214	
ABTC113234	-0.06028952	-0.075726787	-0.053301743	-0.050084632	-0.05862092	0.094331593	-6.44E-03	0.089190534	0.032885903	-3.28E-02	-5.66E-02	0.105033219	0.088303871	1.160017133	0.100990534	0.103548405	0.101480539	-0.011626681	-1.46E-02	-0.01383747	-0.009036835	-3.83E-02	-0.010497868	-0.008549743	-0.005367467	-0.006572039	-5.88E-02	0.061646946	0.06136974	-0.049692566	-7.56E-03	-0.03817261	-3.41E-02	-0.042866566	-4.14E-02	-4.73E-02	-0.034136484	-3.73E-02	-0.04179948	0.047727926	-0.036015118	0.005491581	0.052397005	-0.046842763	-0.046475919	0.106340884	-4.43E-02	0.053393608	-0.042869381	3.33E-02	0.052104775	0.10018883	0.039378569	-0.034380229	0.029847529	-3.06E-02	-1.91E-02	0.02072684	0.048697138	0.028448526	0.003181282	-1.53E-02	-4.11E-02	0.060500122	0.039689752	-0.037760285	0.051824904	-0.039785916	0.097945565	0.058746415	0.001688837	0.038477971	-3.41E-02	0.001834256	0.040079004	-0.023070002	0.08612775	-3.46E-02	-4.16E-02	-3.64E-02	-0.057269292	0.05124154	-4.15E-02	-3.36E-02	-0.057800522	-0.041032956	-5.24E-02	-0.047282807	-6.03E-02	-4.73E-02	-3.30E-02	-4.04E-02	-4.52E-02	-0.039846406	-5.08E-02	-0.047723239	-0.041828206	-0.03428785	-0.033583323	-0.035836317	0.015899131	4.18E-03	-0.021819341	-2.44E-02	-4.29E-02	-0.004857861	-0.055231753	-0.037493167	-0.076028194	0.054144852	-3.77E-02	-3.31E-02	-0.048998974	
ABTC113233	-0.061174216	-0.077717373	-0.051254925	-0.051278646	-0.058232831	0.094115469	-4.91E-03	0.090043622	0.035607237	-3.42E-02	-5.82E-02	0.099587408	0.090117902	0.100990534	1.145142436	0.101644029	0.099818164	-0.010291869	-1.24E-02	-0.011535669	-0.007052071	-3.93E-02	-0.007208176	-0.0054532	-0.002236602	-0.003702224	-5.70E-02	0.069087283	0.065442669	-0.048062959	-5.04E-03	-0.03667534	-3.50E-02	-0.042755314	-4.14E-02	-4.49E-02	-0.03356859	-3.53E-02	-0.041426891	0.05149988	-0.035170177	0.010143767	0.056507296	-0.046638466	-0.044652378	0.110830409	-4.35E-02	0.055987758	-0.04165742	3.46E-02	0.054794835	0.095556313	0.041498651	-0.032561021	0.033762094	-3.00E-02	-1.75E-02	0.023406334	0.051927657	0.032448782	0.005382986	-1.22E-02	-4.13E-02	0.065391718	0.043861582	-0.036303451	0.060425949	-0.039399858	0.089900995	0.061979063	0.004253394	0.044320275	-3.15E-02	0.005759766	0.045944709	-0.021039867	0.091494252	-3.43E-02	-4.24E-02	-3.61E-02	-0.057944407	0.054428887	-4.00E-02	-3.17E-02	-0.060132159	-0.03959815	-5.30E-02	-0.045807769	-6.09E-02	-4.72E-02	-3.19E-02	-3.87E-02	-4.49E-02	-0.039129167	-5.15E-02	-0.047274034	-0.041133151	-0.033445896	-0.031489731	-0.035925928	0.016801162	6.11E-03	-0.020372055	-2.24E-02	-4.31E-02	-0.000967852	-0.056352896	-0.037363809	-0.077067365	0.062206547	-3.69E-02	-3.16E-02	-0.049659798	
ABTC113232	-0.063630753	-0.082270256	-0.056142199	-0.052719251	-0.062514476	0.09533756	-7.12E-03	0.115037456	0.036590933	-3.48E-02	-5.98E-02	0.144427948	0.0953788	0.103548405	0.101644029	1.179846048	0.111083609	-0.013219544	-1.53E-02	-0.013842853	-0.009876383	-4.16E-02	-0.008900948	-0.005822442	-0.004806258	-0.005752669	-6.25E-02	0.069319039	0.06576254	-0.053019495	-7.98E-03	-0.038766111	-3.83E-02	-0.045939349	-4.44E-02	-4.98E-02	-0.0372835	-3.91E-02	-0.045420609	0.052176096	-0.039129069	0.008199643	0.058009388	-0.050486549	-0.0486941	0.118610709	-4.73E-02	0.055551529	-0.045383421	3.70E-02	0.057211421	0.121887907	0.041089476	-0.036339915	0.031253318	-3.27E-02	-1.95E-02	0.021930007	0.052917844	0.03170649	0.003219578	-1.45E-02	-4.43E-02	0.067658563	0.042779107	-0.039988753	0.059157753	-0.040707874	0.096172387	0.063678946	0.001545345	0.04259864	-3.54E-02	0.003538818	0.045104313	-0.023064599	0.094786785	-3.64E-02	-4.33E-02	-3.80E-02	-0.062263202	0.0550277	-4.22E-02	-3.46E-02	-0.063475447	-0.04354679	-5.69E-02	-0.049457968	-6.43E-02	-5.10E-02	-3.55E-02	-4.34E-02	-4.95E-02	-0.041495461	-5.39E-02	-0.051281951	-0.044753908	-0.036174205	-0.035564518	-0.037109109	0.015196944	5.16E-03	-0.02370878	-2.50E-02	-4.55E-02	-0.004214704	-0.060217415	-0.038879384	-0.081405442	0.060679589	-3.93E-02	-3.55E-02	-0.052381335	
ABTC113231	-0.065856899	-0.0840434	-0.058412001	-0.054534941	-0.064845403	0.132483137	-9.54E-03	0.120515943	0.032253393	-3.79E-02	-5.88E-02	0.118065083	0.097830532	0.101480539	0.099818164	0.111083609	1.167325974	-0.014410591	-1.74E-02	-0.014627132	-0.010798747	-4.16E-02	-0.011736686	-0.009130172	-0.005907216	-0.009218624	-6.43E-02	0.063691524	0.062915474	-0.055708981	-1.01E-02	-0.039393495	-3.98E-02	-0.046577912	-4.59E-02	-5.07E-02	-0.036765297	-4.08E-02	-0.046090009	0.050143352	-0.039662533	0.005362445	0.055272053	-0.051120515	-0.051156537	0.274812211	-5.02E-02	0.053223877	-0.046288923	3.14E-02	0.052343147	0.097193581	0.040426891	-0.038618939	0.028960964	-3.50E-02	-2.19E-02	0.018647699	0.050566915	0.027385653	0.001851487	-1.58E-02	-4.44E-02	0.060866051	0.040468157	-0.04144307	0.051354988	-0.040562169	0.090961346	0.060592096	-0.001264246	0.038631516	-3.67E-02	0.000879514	0.041529442	-0.024170216	0.086010027	-3.83E-02	-4.42E-02	-4.13E-02	-0.06206834	0.051712047	-4.37E-02	-3.51E-02	-0.062229208	-0.045257358	-5.65E-02	-0.049688092	-6.60E-02	-5.02E-02	-3.66E-02	-4.39E-02	-5.03E-02	-0.044766563	-5.30E-02	-0.053256523	-0.045523649	-0.038411057	-0.036754399	-0.038440499	0.014713671	3.36E-03	-0.025108019	-2.56E-02	-4.59E-02	-0.008203663	-0.05940362	-0.040346187	-0.082233876	0.053811157	-4.09E-02	-3.66E-02	-0.05392567	
ABTC85134	-0.002711508	-0.005995387	-0.000344544	-0.001867934	-0.000301224	-0.01203053	-3.42E-03	-0.015282818	-0.005133153	-1.60E-03	-4.11E-03	-0.012945872	-0.011878184	-0.011626681	-0.010291869	-0.013219544	-0.014410591	1.050185204	9.01E-03	-0.003163472	-0.004069342	-4.64E-03	-0.002858883	-0.004426107	-0.004005039	-0.004425913	5.03E-04	-0.009422985	-0.008167395	0.000185901	-2.86E-03	-0.00264482	-8.48E-03	-0.001609994	-1.00E-03	-3.93E-03	-0.003848588	-1.67E-03	-0.006247288	-0.009626681	-0.004281196	-0.009336848	-0.007820479	-0.004789294	-0.00204009	-0.015651361	-5.89E-03	-0.009336347	-0.002777471	-6.58E-03	-0.008980369	-0.01186768	-0.007311894	-0.001204831	-0.007355417	-7.19E-03	1.37E-04	-0.009515406	-0.00997544	-0.006888455	-0.008093261	-2.96E-03	-6.57E-03	-0.011705718	-0.008317721	-0.004203628	-0.013272669	-0.003868736	-0.01181527	-0.011949978	-0.010100838	-0.010808155	-8.56E-03	-0.010934404	-0.011634048	-0.007551113	-0.014339402	-7.64E-03	-3.14E-03	-5.88E-03	-0.008751768	-0.00836829	-1.09E-03	-4.34E-03	-0.008669878	-0.000320464	-8.95E-03	-0.00645832	-7.08E-03	-6.90E-03	-6.60E-03	-6.23E-03	-5.68E-03	-0.001441104	-2.24E-03	-0.004794458	-0.003760778	-0.005100428	-0.004410725	-0.0043767	-0.008978357	-8.39E-03	-0.004319737	-1.11E-03	-3.12E-03	-0.013509954	-0.002118231	-0.007795342	-0.006934309	-0.011680374	-3.90E-03	-6.67E-03	-0.002206234	
ABTC85133	0.002291344	0.002102473	0.004427745	0.000766213	0.003880772	-0.012648692	-2.78E-03	-0.016187486	-0.005610595	4.96E-04	3.33E-04	-0.013226403	-0.013327531	-0.01463631	-0.012439043	-0.015294688	-0.017438001	0.009014129	1.04E+00	-0.002773956	-0.001279895	-8.40E-04	-0.002522647	-0.002936866	-0.001840054	-0.00260531	4.38E-03	-0.011364337	-0.009086733	0.004794278	-3.58E-03	-0.000357686	-3.73E-03	0.002210967	1.47E-03	2.55E-03	-0.001765546	2.84E-03	-0.001522184	-0.010349975	-0.001227679	-0.007065266	-0.009675209	0.0020541	0.002096502	-0.01715227	1.62E-04	-0.009989759	0.000899097	-8.39E-03	-0.009722583	-0.012836819	-0.009043854	0.003964348	-0.008330159	-2.86E-03	9.38E-04	-0.010049981	-0.010933899	-0.00746851	-0.005313888	-9.87E-04	-2.46E-03	-0.012425058	-0.009708412	-0.000724618	-0.013585751	-0.000587856	-0.014356587	-0.011212544	-0.008004609	-0.012041358	-2.44E-03	-0.006940046	-0.011962176	-0.00460506	-0.01352316	-3.47E-03	5.86E-04	-1.87E-03	-0.000761626	-0.011424819	1.15E-03	-1.88E-03	-0.001627367	0.002343014	-1.91E-03	-0.002397669	-6.06E-06	-1.35E-03	-1.52E-03	-1.03E-03	-5.56E-04	0.002853171	1.16E-03	0.002152095	-0.000665511	-0.00078083	-0.001261892	-0.000738659	-0.008521447	-5.41E-03	-0.001007737	4.74E-04	8.89E-04	-0.008701714	0.002125241	-0.00348835	0.001470311	-0.013439609	-1.67E-04	-2.98E-03	0.001234734	
ABTC73792	-0.007890117	-0.01093464	-0.00426933	-0.009566097	-0.005566264	-0.012511378	9.99E-04	-0.015534941	-0.005314905	-4.51E-03	-9.88E-03	-0.012762564	-0.01203146	-0.01383747	-0.011535669	-0.013842853	-0.014627132	-0.003163472	-2.77E-03	1.057369351	0.006466515	-5.63E-03	0.001252172	0.0003501	-0.002254069	-0.001896057	-5.15E-03	-0.009346385	-0.009010852	-0.004014252	-2.62E-04	-0.00489601	-7.34E-03	-0.005183085	-3.91E-03	-6.16E-03	-0.001834685	-2.33E-03	-0.005929362	-0.009400137	-0.002335145	-0.007460439	-0.009284836	-0.005496034	-0.004990558	-0.014262537	-3.50E-03	-0.009596138	-0.004922177	-5.90E-03	-0.008057152	-0.012908217	-0.006119652	-0.003633079	-0.006196851	-7.81E-03	-3.08E-03	-0.011717205	-0.009820959	-0.005950722	-0.007218392	-1.58E-03	-5.27E-03	-0.010643571	-0.007007391	-0.004314003	-0.011254446	-0.004691931	-0.013575045	-0.009033195	-0.009260813	-0.009491714	-8.28E-03	-0.009440684	-0.009996298	-0.007090828	-0.014658748	-6.51E-03	-5.18E-03	-6.17E-03	-0.008398297	-0.008181364	-4.55E-03	-1.95E-03	-0.009989301	-0.001595477	-7.70E-03	-0.005879976	-9.53E-03	-5.36E-03	-5.96E-03	-3.45E-03	-4.14E-03	-0.003584939	-7.96E-03	-0.00516486	-0.004367009	-0.004557528	-0.002026536	-0.003377751	-0.010399785	-7.82E-03	-0.001206918	-1.73E-03	-3.93E-03	-0.011540008	-0.008442959	-0.003994344	-0.011196271	-0.011469711	-6.87E-03	-4.98E-03	-0.006184531	
ABTC73791	-0.008614433	-0.010921669	-0.004480009	-0.00847618	-0.007115035	-0.007519434	-1.26E-03	-0.011656661	-0.003574589	-5.46E-03	-1.04E-02	-0.008205039	-0.008953345	-0.009036835	-0.007052071	-0.009876383	-0.010798747	-0.004069342	-1.28E-03	0.006466515	1.052664042	-5.45E-03	0.001403902	-0.000978059	-0.000832582	-0.002230803	-6.49E-03	-0.005263848	-0.005807959	-0.003898044	-4.86E-04	-0.00405653	-6.61E-03	-0.004703301	-4.52E-03	-4.70E-03	-0.004500002	-3.84E-03	-0.00519328	-0.006644981	-0.004664923	-0.007159281	-0.004665993	-0.004487663	-0.005308812	-0.01062803	-5.72E-03	-0.006624176	-0.003984678	-4.00E-03	-0.00666746	-0.008508593	-0.004007536	-0.003094724	-0.003673635	-8.37E-03	-2.91E-03	-0.009428129	-0.008129438	-0.00379076	-0.006103829	-1.04E-03	-6.30E-03	-0.008916975	-0.005567491	-0.004553527	-0.010236915	-0.004361822	-0.009849877	-0.007971574	-0.008192067	-0.007520909	-8.15E-03	-0.008780305	-0.007525225	-0.008639491	-0.009562599	-8.41E-03	-3.22E-03	-5.03E-03	-0.011328323	-0.007180336	-4.43E-03	-5.16E-03	-0.010013152	-0.003439728	-9.50E-03	-0.00724262	-9.46E-03	-7.35E-03	-5.62E-03	-3.72E-03	-5.67E-03	-0.005009474	-8.11E-03	-0.00633804	-0.006394674	-0.004988151	-0.004227175	-0.005183476	-0.007528077	-6.22E-03	-0.002114865	-2.54E-03	-5.52E-03	-0.009735008	-0.009703095	-0.005198862	-0.011201844	-0.008187934	-4.95E-03	-4.67E-03	-0.006616858	
ABTC119496	0.011123638	0.004287413	0.016036106	0.012032075	0.018920172	-0.038401551	-6.88E-03	-0.03787417	-0.020494314	6.14E-03	8.60E-03	-0.043534148	-0.038088145	-0.038302173	-0.039259201	-0.041553379	-0.041615586	-0.00464272	-8.40E-04	-0.005634818	-0.005454069	1.09E+00	-0.005718044	-0.008492018	-0.007774809	-0.007859767	1.96E-02	-0.03438765	-0.032480428	0.014255015	-8.22E-03	0.011605085	-5.24E-03	0.01088374	1.14E-02	1.00E-02	-0.001360815	1.32E-02	-0.001846032	-0.028648281	-0.001352441	-0.017802517	-0.030637633	0.009551246	0.009809506	-0.042419254	8.16E-05	-0.028337794	0.012279151	-2.21E-02	-0.028548859	-0.039325121	-0.022175459	0.011342106	-0.0211145	-9.00E-03	-3.00E-04	-0.02361065	-0.027197874	-0.0195416	-0.015173192	-2.78E-03	-2.77E-03	-0.034944737	-0.026425982	-0.001023192	-0.033072229	0.015505018	-0.037602442	-0.031150727	-0.019083142	-0.02843484	-9.02E-03	-0.01986138	-0.027831752	-0.009738686	-0.04115221	-5.18E-03	7.68E-03	-3.75E-03	-0.002476576	-0.029472447	8.23E-03	-2.58E-03	-0.002638679	0.017417314	-4.36E-03	-0.000906545	-1.84E-04	-2.59E-03	-3.89E-03	1.37E-03	-1.91E-03	0.015360216	1.17E-02	0.000145625	-0.000225758	-0.002124532	-0.000231849	0.001246307	-0.01974244	-1.67E-02	-0.000208422	1.36E-03	1.41E-02	-0.021073145	0.016413881	-0.005217669	0.003557132	-0.035463457	1.41E-02	-5.42E-03	0.012924823	
ABTC38831	-0.010078104	-0.01361492	-0.00536248	-0.010135871	-0.007850829	-0.007604369	1.22E-03	-0.011897473	-0.003104981	-6.55E-03	-1.39E-02	-0.009389784	-0.009252451	-0.010497867	-0.007208176	-0.008900948	-0.011736686	-0.002858883	-2.52E-03	0.001252172	0.001403902	-5.72E-03	1.052901626	0.005811682	-0.000918029	-0.000028951	-8.78E-03	-0.007615105	-0.006199796	-0.003679439	2.65E-03	-0.005688874	-7.07E-03	-0.006525943	-4.61E-03	-6.26E-03	-0.002638408	-3.10E-03	-0.006417243	-0.006762907	-0.004602646	-0.006031461	-0.006117426	-0.007721706	-0.005771451	-0.012375675	-5.89E-03	-0.006295369	-0.006758145	-4.55E-03	-0.00746762	-0.009037378	-0.005681824	-0.003683615	-0.005633392	-7.76E-03	-2.81E-03	-0.008574342	-0.007843776	-0.004173493	-0.007675568	-6.48E-04	-7.70E-03	-0.009136732	-0.005780253	-0.003286726	-0.010166562	-0.007076366	-0.008711544	-0.007920507	-0.009410583	-0.008304348	-8.31E-03	-0.009929558	-0.008844478	-0.006935136	-0.011276751	-6.69E-03	-5.88E-03	-6.69E-03	-0.009944555	-0.006281583	-4.85E-03	-2.98E-03	-0.012511174	-0.004101754	-9.36E-03	-0.006826458	-1.09E-02	-7.58E-03	-5.98E-03	-4.34E-03	-7.59E-03	-0.00505145	-7.78E-03	-0.00596033	-0.004652964	-0.00612519	-0.001610109	-0.001542814	-0.008560985	-6.58E-03	-0.005524478	-2.58E-03	-7.65E-03	-0.011457675	-0.010626247	-0.006585552	-0.013521591	-0.010359841	-6.54E-03	-5.26E-03	-0.008088883	
ABTC38801	-0.011103879	-0.014175079	-0.00702384	-0.011092507	-0.008985755	-0.006577413	4.69E-03	-0.008943228	-0.003097913	-6.42E-03	-1.28E-02	-0.00601408	-0.007240007	-0.008549743	-0.0054532	-0.005822442	-0.009130172	-0.004426107	-2.94E-03	0.0003501	-0.000978059	-8.49E-03	0.005811682	1.059317708	0.000489103	0.000559661	-8.94E-03	-0.006736666	-0.005591242	-0.006468588	2.27E-03	-0.005137561	-7.86E-03	-0.007008633	-5.53E-03	-7.76E-03	-0.005039833	-5.75E-03	-0.006506182	-0.006952589	-0.005026558	-0.0058583	-0.005843969	-0.008381554	-0.007263009	-0.008942863	-5.26E-03	-0.005954263	-0.006528669	-2.93E-03	-0.004719296	-0.005773183	-0.003715175	-0.004362589	-0.002466545	-8.50E-03	-4.41E-03	-0.008391344	-0.006881104	-0.003462913	-0.005852912	-8.86E-04	-8.23E-03	-0.006590601	-0.00484322	-0.00466827	-0.006934792	-0.006809848	-0.008194381	-0.00527834	-0.009073293	-0.008722805	-8.55E-03	-0.008413975	-0.00800784	-0.007947348	-0.007724754	-9.65E-03	-7.61E-03	-8.77E-03	-0.010529637	-0.004929844	-7.76E-03	-4.52E-03	-0.01303217	-0.005100695	-1.11E-02	-0.008485301	-1.06E-02	-8.70E-03	-8.01E-03	-6.22E-03	-6.74E-03	-0.005997655	-1.14E-02	-0.006758331	-0.006125911	-0.006825888	-0.003046688	-0.004031251	-0.009047459	-5.98E-03	-0.003284036	-3.93E-03	-7.51E-03	-0.010254323	-0.012262981	-0.006260036	-0.015698123	-0.005513386	-6.79E-03	-5.13E-03	-0.00859157	
ABTC37976	-0.010386573	-0.013267531	-0.006824576	-0.009899762	-0.010107737	-0.003195535	1.56E-03	-0.006280913	-0.000306922	-5.61E-03	-1.21E-02	-0.00340195	-0.003332515	-0.005367467	-0.002236602	-0.004806258	-0.005907216	-0.004005039	-1.84E-03	-0.002254069	-0.000832582	-7.77E-03	-0.000918029	0.000489103	1.049452782	0.000732625	-9.18E-03	-0.003971079	-0.002539138	-0.006176965	-6.63E-04	-0.007202401	-6.93E-03	-0.006671704	-5.90E-03	-6.41E-03	-0.00501187	-4.06E-03	-0.007637395	-0.003722743	-0.00611268	-0.005949474	-0.002510611	-0.007235925	-0.006897646	-0.005549984	-6.62E-03	-0.002002054	-0.005869919	-1.24E-03	-0.00340958	-0.002171042	-0.002016896	-0.003931342	-0.00165538	-7.53E-03	-4.06E-03	-0.007690683	-0.003158144	-0.002505751	-0.004672956	-7.85E-04	-6.58E-03	-0.003344141	-0.002249318	-0.005244063	-0.004981464	-0.006575419	-0.004749912	-0.003143646	-0.007665971	-0.004419996	-7.82E-03	-0.006500211	-0.003996817	-0.007174477	-0.004949493	-7.77E-03	-7.55E-03	-5.95E-03	-0.011865105	-0.002099316	-5.75E-03	-5.44E-03	-0.013695207	-0.004008943	-1.02E-02	-0.007660757	-1.25E-02	-9.07E-03	-6.03E-03	-6.23E-03	-8.31E-03	-0.005506958	-1.02E-02	-0.006739745	-0.007578315	-0.006221226	-0.004206898	-0.004555626	-0.006295405	-4.63E-03	-0.003198898	-4.46E-03	-8.47E-03	-0.009289711	-0.012050454	-0.007671321	-0.013390522	-0.004903046	-9.42E-03	-6.30E-03	-0.008178695	
ABTC37966	-0.012344678	-0.014462948	-0.007984997	-0.012009755	-0.010359397	-0.00478532	-5.55E-04	-0.008081116	-0.003324987	-5.38E-03	-1.41E-02	-0.004059074	-0.004992336	-0.006572039	-0.003702224	-0.005752669	-0.009218624	-0.004425913	-2.61E-03	-0.001896057	-0.002230803	-7.86E-03	-0.000028951	0.000559661	0.000732625	1.056505919	-8.95E-03	-0.005180837	-0.003722133	-0.0064443	-1.50E-03	-0.008165928	-9.90E-03	-0.008183971	-6.65E-03	-7.60E-03	-0.005425634	-5.39E-03	-0.007414938	-0.005465412	-0.006481841	-0.007281546	-0.004761334	-0.008862257	-0.007671167	-0.008723746	-6.33E-03	-0.004686195	-0.00791381	-3.47E-03	-0.004439609	-0.004903648	-0.004556886	-0.005234495	-0.00351563	-8.79E-03	-5.34E-03	-0.008162215	-0.007063936	-0.004135655	-0.00609256	-2.42E-03	-1.05E-02	-0.006318503	-0.004689326	-0.00630677	-0.007857169	-0.00941246	-0.006889583	-0.005402828	-0.009198678	-0.007338752	-9.35E-03	-0.008875536	-0.007719357	-0.008767094	-0.004626198	-9.96E-03	-8.83E-03	-7.70E-03	-0.012774024	-0.004542924	-7.14E-03	-6.13E-03	-0.014732638	-0.006515879	-1.23E-02	-0.010121382	-1.41E-02	-1.13E-02	-7.86E-03	-7.82E-03	-7.24E-03	-0.005141527	-1.23E-02	-0.008278766	-0.008757616	-0.007058887	-0.006166362	-0.005574606	-0.007758633	-6.47E-03	-0.004571901	-3.65E-03	-8.73E-03	-0.012129497	-0.01312605	-0.008994503	-0.015121587	-0.00715719	-7.85E-03	-7.26E-03	-0.009365305	
