SAMPLE.ID,YearJD,Ndays5
SAM20,1979,51
SAM20,1980,58
SAM20,1989,73
SAM20,1990,40
SAM20,1991,33
SAM20,1988,52
SAM20,1987,69
SAM21,1982,68
SAM21,1987,69
SAM21,1988,52
SAM21,1989,73
SAM21,1990,40
SAM21,1985,72
SAM21,1986,63
SAM21,1977,0
SAM21,1978,55
SAM21,1979,51
SAM21,1980,58
SAM21,1981,42
SAM21,1983,68
SAM21,1984,62
SAM21,1991,33
SAM8,1977,0
SAM8,1983,48
SAM8,1984,46
SAM8,1985,46
SAM8,1980,32
SAM8,1981,30
SAM8,1982,52
SAM8,1991,24
SAM8,1988,24
SAM8,1978,36
SAM8,1979,33
SAM8,1989,50
SAM8,1990,26
SAM8,1986,29
SAM8,1987,47
ANWC105,1993,40
ANWC105,1994,85
ANWC105,1995,47
ANWC105,1992,55
ANWC105,1996,50
ANWC105,1997,55
ANWC106,1993,34
ANWC106,1992,44
ANWC106,1996,52
ANWC106,1994,57
ANWC106,1995,46
ANWC106,1997,56
ANWC107,1993,34
ANWC107,1994,57
ANWC107,1992,44
ANWC107,1996,52
ANWC107,1997,56
ANWC107,1995,46
ANWC108,1997,41
ANWC108,1992,34
ANWC108,1993,29
ANWC108,1994,41
ANWC108,1995,26
ANWC108,1996,25
ANWC109,1994,73
ANWC109,1993,54
ANWC109,1992,50
ANWC109,1995,45
ANWC109,1996,42
ANWC109,1997,62
SAM11,1997,41
SAM11,1992,32
SAM11,1993,26
SAM11,1994,41
SAM11,1995,26
SAM11,1996,21
SAM12,1992,32
SAM12,1997,43
SAM12,1995,27
SAM12,1996,23
SAM12,1994,43
SAM12,1993,29
SAM20,1994,55
SAM20,1992,75
SAM20,1993,52
SAM20,1996,60
SAM20,1997,72
SAM20,1995,43
SAM21,1993,52
SAM21,1994,55
SAM21,1995,43
SAM21,1996,60
SAM21,1997,72
SAM21,1992,75
SAM8,1994,41
SAM8,1997,43
SAM8,1995,27
SAM8,1996,22
SAM8,1992,27
SAM8,1993,30
ANWC110,1978,0
ANWC110,1979,102
ANWC110,1980,97
ANWC110,1981,81
ANWC110,1982,118
ANWC110,1983,74
ANWC110,1984,93
ANWC110,1985,98
ANWC110,1986,94
ANWC110,1987,78
ANWC110,1988,76
ANWC110,1989,93
ANWC110,1990,70
ANWC110,1991,76
ANWC110,1992,97
ANWC71,1992,54
ANWC71,1987,42
ANWC71,1988,33
ANWC71,1989,53
ANWC71,1990,38
ANWC71,1991,37
ANWC71,1983,41
ANWC71,1986,45
ANWC71,1984,53
ANWC71,1980,43
ANWC71,1978,0
ANWC71,1979,51
ANWC71,1981,41
ANWC71,1982,61
ANWC71,1985,47
SAM14,1981,22
SAM14,1989,43
SAM14,1987,41
SAM14,1988,18
SAM14,1984,42
SAM14,1985,37
SAM14,1986,19
SAM14,1978,0
SAM14,1979,20
SAM14,1980,23
SAM14,1982,51
SAM14,1983,37
SAM14,1991,25
SAM14,1992,34
SAM14,1990,25
SAM15,1987,41
SAM15,1990,25
SAM15,1988,18
SAM15,1989,43
SAM15,1985,37
SAM15,1991,25
SAM15,1992,34
SAM15,1979,20
SAM15,1980,23
SAM15,1981,22
SAM15,1982,51
SAM15,1983,37
SAM15,1984,42
SAM15,1986,19
SAM15,1978,0
SAM16,1988,18
SAM16,1991,22
SAM16,1992,33
SAM16,1978,0
SAM16,1979,25
SAM16,1980,30
SAM16,1989,46
SAM16,1990,25
SAM16,1983,41
SAM16,1984,40
SAM16,1985,36
SAM16,1986,20
SAM16,1987,43
SAM16,1982,49
SAM16,1981,26
ANWC110,1998,79
ANWC110,1997,94
ANWC110,1993,82
ANWC110,1994,108
ANWC110,1995,85
ANWC110,1996,84
ANWC71,1993,41
ANWC71,1995,41
ANWC71,1996,49
ANWC71,1997,60
ANWC71,1998,39
ANWC71,1994,77
SAM14,1993,26
SAM14,1994,41
SAM14,1995,23
SAM14,1996,16
SAM14,1997,41
SAM14,1998,17
SAM15,1995,23
SAM15,1998,17
SAM15,1996,16
SAM15,1997,41
SAM15,1994,41
SAM15,1993,26
SAM16,1995,28
SAM16,1996,18
SAM16,1993,26
SAM16,1994,42
SAM16,1997,42
SAM16,1998,18
SAM17,1993,39
SAM17,1984,51
SAM17,1979,0
SAM17,1980,38
SAM17,1981,38
SAM17,1982,57
SAM17,1983,53
SAM17,1992,32
SAM17,1990,35
SAM17,1988,33
SAM17,1989,52
SAM17,1987,52
SAM17,1991,28
SAM17,1986,42
SAM17,1985,62
SAM18,1979,0
SAM18,1980,38
SAM18,1984,51
SAM18,1985,62
SAM18,1986,42
SAM18,1987,52
SAM18,1988,33
SAM18,1983,53
SAM18,1992,32
SAM18,1993,39
SAM18,1991,28
SAM18,1981,38
SAM18,1982,57
SAM18,1989,52
SAM18,1990,35
SAM19,1984,114
SAM19,1982,130
SAM19,1979,0
SAM19,1980,91
SAM19,1981,83
SAM19,1983,99
SAM19,1992,117
SAM19,1987,111
SAM19,1988,63
SAM19,1989,91
SAM19,1990,99
SAM19,1991,95
SAM19,1985,98
SAM19,1986,101
SAM19,1993,104
SAM17,1996,28
SAM17,1997,42
SAM17,1998,26
SAM17,1999,46
SAM17,1994,46
SAM17,1995,37
SAM18,1999,46
SAM18,1997,42
SAM18,1998,26
SAM18,1994,46
SAM18,1995,37
SAM18,1996,28
SAM19,1995,120
SAM19,1996,111
SAM19,1997,139
SAM19,1998,134
SAM19,1999,136
SAM19,1994,130
ANWC66,1982,0
ANWC66,1983,0
ANWC66,1984,1
ANWC66,1985,0
ANWC66,1986,0
ANWC66,1987,0
ANWC66,1995,0
ANWC66,1988,0
ANWC66,1981,0
ANWC66,1994,0
ANWC66,1990,0
ANWC66,1989,0
ANWC66,1992,0
ANWC66,1991,0
ANWC66,1993,0
ANWC69,1991,0
ANWC69,1990,0
ANWC69,1992,0
ANWC69,1985,0
ANWC69,1986,0
ANWC69,1987,0
ANWC69,1988,0
ANWC69,1989,0
ANWC69,1983,0
ANWC69,1984,0
ANWC69,1993,0
ANWC69,1994,0
ANWC69,1995,0
ANWC69,1981,0
ANWC69,1982,0
ANWC66,1998,0
ANWC66,1999,0
ANWC66,2000,0
ANWC66,2001,0
ANWC66,1996,0
ANWC66,1997,0
ANWC69,1998,0
ANWC69,1996,0
ANWC69,1997,0
ANWC69,2001,0
ANWC69,1999,0
ANWC69,2000,0
ANWC72,1982,43
ANWC72,1993,33
ANWC72,1994,36
ANWC72,1995,31
ANWC72,1996,20
ANWC72,1983,35
ANWC72,1984,33
ANWC72,1987,46
ANWC72,1988,25
ANWC72,1989,51
ANWC72,1990,32
ANWC72,1985,36
ANWC72,1991,15
ANWC72,1992,24
ANWC72,1986,30
ANWC73,1982,43
ANWC73,1983,35
ANWC73,1984,33
ANWC73,1985,36
ANWC73,1986,30
ANWC73,1994,36
ANWC73,1987,46
ANWC73,1989,51
ANWC73,1995,31
ANWC73,1988,25
ANWC73,1990,32
ANWC73,1991,15
ANWC73,1992,24
ANWC73,1993,33
ANWC73,1996,20
ANWC75,1982,64
ANWC75,1990,39
ANWC75,1983,72
ANWC75,1984,70
ANWC75,1985,63
ANWC75,1986,45
ANWC75,1987,62
ANWC75,1988,43
ANWC75,1989,66
ANWC75,1991,28
ANWC75,1994,65
ANWC75,1995,53
ANWC75,1996,26
ANWC75,1992,39
ANWC75,1993,42
ANWC77,1982,49
ANWC77,1986,43
ANWC77,1984,41
ANWC77,1983,53
ANWC77,1994,55
ANWC77,1987,45
ANWC77,1985,50
ANWC77,1989,53
ANWC77,1990,35
ANWC77,1991,22
ANWC77,1992,43
ANWC77,1993,49
ANWC77,1995,46
ANWC77,1988,25
ANWC77,1996,27
ANWC78,1990,26
ANWC78,1991,9
ANWC78,1984,36
ANWC78,1985,36
ANWC78,1986,31
ANWC78,1987,26
ANWC78,1988,12
ANWC78,1989,31
ANWC78,1982,41
ANWC78,1992,24
ANWC78,1993,35
ANWC78,1994,45
ANWC78,1995,34
ANWC78,1996,19
ANWC78,1983,24
ANWC79,1991,0
ANWC79,1993,1
ANWC79,1994,0
ANWC79,1992,0
ANWC79,1988,0
ANWC79,1989,2
ANWC79,1990,3
ANWC79,1985,0
ANWC79,1986,2
ANWC79,1995,0
ANWC79,1996,0
ANWC79,1982,2
ANWC79,1983,1
ANWC79,1984,3
ANWC79,1987,0
ANWC80,1991,0
ANWC80,1992,0
ANWC80,1993,0
ANWC80,1994,0
ANWC80,1995,0
ANWC80,1996,0
ANWC80,1988,0
ANWC80,1982,0
ANWC80,1987,0
ANWC80,1983,0
ANWC80,1989,0
ANWC80,1990,0
ANWC80,1984,1
ANWC80,1985,0
ANWC80,1986,2
ANWC81,1982,1
ANWC81,1983,0
ANWC81,1984,1
ANWC81,1995,0
ANWC81,1996,0
ANWC81,1992,0
ANWC81,1985,0
ANWC81,1987,0
ANWC81,1988,0
ANWC81,1989,2
ANWC81,1990,3
ANWC81,1991,0
ANWC81,1993,1
ANWC81,1986,4
ANWC81,1994,0
ANWC72,1999,38
ANWC72,2000,43
ANWC72,1997,43
ANWC72,1998,22
ANWC72,2001,35
ANWC72,2002,23
ANWC73,1997,43
ANWC73,1998,22
ANWC73,1999,38
ANWC73,2000,43
ANWC73,2001,35
ANWC73,2002,23
ANWC75,1998,30
ANWC75,2001,59
ANWC75,2002,33
ANWC75,1997,47
ANWC75,1999,45
ANWC75,2000,75
ANWC77,2002,22
ANWC77,1997,45
ANWC77,1998,29
ANWC77,1999,43
ANWC77,2000,74
ANWC77,2001,52
ANWC78,1997,46
ANWC78,2000,74
ANWC78,1998,23
ANWC78,2001,54
ANWC78,2002,16
ANWC78,1999,53
ANWC79,2001,2
ANWC79,1998,1
ANWC79,1999,5
ANWC79,2000,4
ANWC79,1997,1
ANWC79,2002,0
ANWC80,1997,0
ANWC80,1998,0
ANWC80,1999,0
ANWC80,2000,0
ANWC80,2001,0
ANWC80,2002,0
ANWC81,2000,0
ANWC81,2001,0
ANWC81,2002,0
ANWC81,1997,3
